v_b,i_1
-0.2,8e-07
-0.19595959595959597,2e-07
-0.19191919191919193,2e-07
-0.1878787878787879,3e-07
-0.18383838383838386,3e-07
-0.17979797979797982,4e-07
-0.17575757575757578,5e-07
-0.1717171717171717,6e-07
-0.1676767676767677,7e-07
-0.16363636363636364,7e-07
-0.15959595959595962,8e-07
-0.15555555555555556,1e-06
-0.15151515151515152,1e-06
-0.14747474747474748,1.1e-06
-0.14343434343434344,1.2999999999999998e-06
-0.1393939393939394,1.4e-06
-0.13535353535353536,1.5e-06
-0.13131313131313133,1.6e-06
-0.1272727272727273,1.6999999999999998e-06
-0.12323232323232325,1.9e-06
-0.11919191919191921,2e-06
-0.11515151515151516,2.1e-06
-0.11111111111111112,2.3e-06
-0.10707070707070708,2.4e-06
-0.10303030303030304,2.5999999999999997e-06
-0.098989898989899,2.7e-06
-0.09494949494949496,2.8e-06
-0.09090909090909093,3e-06
-0.08686868686868687,3.1e-06
-0.08282828282828283,3.2999999999999997e-06
-0.0787878787878788,3.3999999999999996e-06
-0.07474747474747476,3.6e-06
-0.07070707070707072,3.8e-06
-0.06666666666666668,4e-06
-0.06262626262626264,4.1e-06
-0.0585858585858586,4.2999999999999995e-06
-0.054545454545454564,4.5e-06
-0.050505050505050525,4.7e-06
-0.046464646464646486,4.8e-06
-0.04242424242424245,4.9999999999999996e-06
-0.03838383838383841,5.199999999999999e-06
-0.03434343434343434,5.4e-06
-0.030303030303030304,5.6e-06
-0.026262626262626265,5.7999999999999995e-06
-0.022222222222222227,6e-06
-0.018181818181818188,6.1e-06
-0.01414141414141415,6.3e-06
-0.01010101010101011,6.5e-06
-0.006060606060606072,6.699999999999999e-06
-0.002020202020202033,6.9e-06
0.0020202020202020055,7.1e-06
0.006060606060606044,7.2999999999999996e-06
0.010101010101010083,7.499999999999999e-06
0.014141414141414121,7.6e-06
0.01818181818181816,7.8e-06
0.0222222222222222,8e-06
0.026262626262626265,8.2e-06
0.030303030303030304,8.4e-06
0.03434343434343434,8.599999999999999e-06
0.03838383838383838,8.8e-06
0.04242424242424242,9e-06
0.04646464646464646,9.1e-06
0.0505050505050505,9.299999999999999e-06
0.05454545454545451,9.499999999999999e-06
0.058585858585858575,9.7e-06
0.06262626262626264,9.9e-06
0.06666666666666665,9.999999999999999e-06
0.07070707070707072,1.01e-05
0.07474747474747473,1.03e-05
0.0787878787878788,1.05e-05
0.0828282828282828,1.06e-05
0.08686868686868687,1.08e-05
0.09090909090909088,1.1e-05
0.09494949494949495,1.1099999999999999e-05
0.09898989898989896,1.13e-05
0.10303030303030303,1.14e-05
0.10707070707070704,1.15e-05
0.1111111111111111,1.17e-05
0.11515151515151512,1.1799999999999999e-05
0.11919191919191918,1.2e-05
0.1232323232323232,1.21e-05
0.12727272727272726,1.22e-05
0.13131313131313133,1.24e-05
0.13535353535353534,1.2499999999999999e-05
0.1393939393939394,1.26e-05
0.14343434343434341,1.2699999999999999e-05
0.14747474747474748,1.28e-05
0.1515151515151515,1.29e-05
0.15555555555555556,1.31e-05
0.15959595959595957,1.31e-05
0.16363636363636364,1.3199999999999999e-05
0.16767676767676765,1.33e-05
0.1717171717171717,1.3399999999999999e-05
0.17575757575757572,1.35e-05
0.1797979797979798,1.3599999999999999e-05
0.1838383838383838,1.37e-05
0.18787878787878787,1.37e-05
0.19191919191919193,1.38e-05
0.19595959595959594,1.3899999999999999e-05
0.2,1.3899999999999999e-05
