iin	V(iin)	I(Iin)	I(Iout)	I(Vdd)	I(Vout)
6.093999999999995e-06	3.563760e+00	6.094000e-06	6.483682e-06	-1.257768e-05	6.483682e-06
6.193899999999995e-06	3.557479e+00	6.193900e-06	6.588471e-06	-1.278237e-05	6.588471e-06
6.293799999999995e-06	3.551246e+00	6.293800e-06	6.693238e-06	-1.298704e-05	6.693238e-06
6.393699999999994e-06	3.545060e+00	6.393700e-06	6.797984e-06	-1.319168e-05	6.797984e-06
6.493599999999994e-06	3.538919e+00	6.493600e-06	6.902709e-06	-1.339631e-05	6.902709e-06
6.593499999999994e-06	3.532823e+00	6.593500e-06	7.007413e-06	-1.360091e-05	7.007413e-06
6.693399999999993e-06	3.526771e+00	6.693400e-06	7.112097e-06	-1.380550e-05	7.112097e-06
6.793299999999993e-06	3.520761e+00	6.793300e-06	7.216760e-06	-1.401006e-05	7.216760e-06
6.893199999999993e-06	3.514793e+00	6.893200e-06	7.321402e-06	-1.421460e-05	7.321402e-06
6.993099999999992e-06	3.508865e+00	6.993100e-06	7.426026e-06	-1.441913e-05	7.426026e-06
7.092999999999992e-06	3.502977e+00	7.093000e-06	7.530629e-06	-1.462363e-05	7.530629e-06
7.192899999999992e-06	3.497128e+00	7.192900e-06	7.635213e-06	-1.482811e-05	7.635213e-06
7.292799999999991e-06	3.491317e+00	7.292800e-06	7.739779e-06	-1.503258e-05	7.739779e-06
7.392699999999991e-06	3.485543e+00	7.392700e-06	7.844325e-06	-1.523702e-05	7.844325e-06
7.492599999999991e-06	3.479806e+00	7.492600e-06	7.948853e-06	-1.544145e-05	7.948853e-06
7.592499999999990e-06	3.474104e+00	7.592500e-06	8.053362e-06	-1.564586e-05	8.053362e-06
7.692399999999991e-06	3.468437e+00	7.692400e-06	8.157853e-06	-1.585025e-05	8.157853e-06
7.792299999999991e-06	3.462805e+00	7.792300e-06	8.262326e-06	-1.605463e-05	8.262326e-06
7.892199999999992e-06	3.457206e+00	7.892200e-06	8.366782e-06	-1.625898e-05	8.366782e-06
7.992099999999992e-06	3.451640e+00	7.992100e-06	8.471219e-06	-1.646332e-05	8.471219e-06
8.091999999999993e-06	3.446106e+00	8.092000e-06	8.575640e-06	-1.666764e-05	8.575640e-06
8.191899999999994e-06	3.440604e+00	8.191900e-06	8.680043e-06	-1.687194e-05	8.680043e-06
8.291799999999994e-06	3.435133e+00	8.291800e-06	8.784428e-06	-1.707623e-05	8.784428e-06
8.391699999999995e-06	3.429692e+00	8.391700e-06	8.888797e-06	-1.728050e-05	8.888797e-06
8.491599999999995e-06	3.424282e+00	8.491600e-06	8.993150e-06	-1.748475e-05	8.993150e-06
8.591499999999996e-06	3.418900e+00	8.591500e-06	9.097486e-06	-1.768899e-05	9.097486e-06
8.691399999999996e-06	3.413548e+00	8.691400e-06	9.201805e-06	-1.789321e-05	9.201805e-06
8.791299999999997e-06	3.408224e+00	8.791300e-06	9.306108e-06	-1.809741e-05	9.306108e-06
8.891199999999997e-06	3.402928e+00	8.891200e-06	9.410395e-06	-1.830159e-05	9.410395e-06
8.991099999999998e-06	3.397659e+00	8.991100e-06	9.514666e-06	-1.850577e-05	9.514666e-06
9.090999999999998e-06	3.392417e+00	9.091000e-06	9.618921e-06	-1.870992e-05	9.618921e-06
9.190899999999999e-06	3.387201e+00	9.190900e-06	9.723161e-06	-1.891406e-05	9.723161e-06
9.290799999999999e-06	3.382011e+00	9.290800e-06	9.827386e-06	-1.911819e-05	9.827386e-06
9.390700000000000e-06	3.376847e+00	9.390700e-06	9.931594e-06	-1.932229e-05	9.931594e-06
9.490600000000000e-06	3.371708e+00	9.490600e-06	1.003579e-05	-1.952639e-05	1.003579e-05
9.590500000000001e-06	3.366594e+00	9.590500e-06	1.013997e-05	-1.973047e-05	1.013997e-05
9.690400000000001e-06	3.361504e+00	9.690400e-06	1.024413e-05	-1.993453e-05	1.024413e-05
9.790300000000002e-06	3.356438e+00	9.790300e-06	1.034828e-05	-2.013858e-05	1.034828e-05
9.890200000000002e-06	3.351396e+00	9.890200e-06	1.045241e-05	-2.034261e-05	1.045241e-05
9.990100000000003e-06	3.346376e+00	9.990100e-06	1.055653e-05	-2.054663e-05	1.055653e-05
1.009000000000000e-05	3.341380e+00	1.009000e-05	1.066063e-05	-2.075063e-05	1.066063e-05
1.018990000000000e-05	3.336406e+00	1.018990e-05	1.076472e-05	-2.095463e-05	1.076472e-05
1.028980000000000e-05	3.331454e+00	1.028980e-05	1.086880e-05	-2.115860e-05	1.086880e-05
1.038970000000000e-05	3.326524e+00	1.038970e-05	1.097286e-05	-2.136256e-05	1.097286e-05
1.048960000000001e-05	3.321615e+00	1.048960e-05	1.107691e-05	-2.156651e-05	1.107691e-05
1.058950000000001e-05	3.316728e+00	1.058950e-05	1.118094e-05	-2.177044e-05	1.118094e-05
