vdm,trash,v1,i1
-0.2,-1.1200000000000001e-08,5.0,-5e-10
-0.19595959595959597,-4.4000000000000005e-09,5.0,-1.4000000000000001e-09
-0.19191919191919193,-3.2e-09,5.0,-4e-10
-0.1878787878787879,-2.7e-09,5.0,5e-10
-0.18383838383838386,-2.2000000000000003e-09,5.0,4e-10
-0.17979797979797982,-2.7e-09,5.0,-4e-10
-0.17575757575757578,-1.7000000000000001e-09,5.0,-2.2000000000000003e-09
-0.1717171717171717,-1.5e-09,5.0,0.0
-0.1676767676767677,-1.9e-09,5.0,-6e-10
-0.16363636363636364,-2e-09,5.0,1.2e-09
-0.15959595959595962,-1.8e-09,5.0,2.4e-09
-0.15555555555555556,-1.3e-09,5.0,2.4e-09
-0.15151515151515152,-1.5e-09,5.0,2.6e-09
-0.14747474747474748,-1.2e-09,5.0,2.6e-09
-0.14343434343434344,-1.3e-09,5.0,3.1e-09
-0.1393939393939394,-1.2e-09,5.0,4.6e-09
-0.13535353535353536,-1.4000000000000001e-09,5.0,6.5e-09
-0.13131313131313133,-1.1000000000000001e-09,5.0,5.4e-09
-0.1272727272727273,-1.1000000000000001e-09,5.0,6.6e-09
-0.12323232323232325,-1.8e-09,5.0,4.3000000000000005e-09
-0.11919191919191921,-1.1000000000000001e-09,5.0,8.800000000000001e-09
-0.11515151515151516,-1.4000000000000001e-09,5.0,9.4e-09
-0.11111111111111112,-1.1000000000000001e-09,5.0,9.900000000000001e-09
-0.10707070707070708,-1.1000000000000001e-09,5.0,1.11e-08
-0.10303030303030304,-6e-10,5.0,1.06e-08
-0.098989898989899,-1.2e-09,5.0,1.46e-08
-0.09494949494949496,-1.1000000000000001e-09,5.0,1.9e-08
-0.09090909090909093,-1.1000000000000001e-09,5.0,1.8e-08
-0.08686868686868687,-1.2e-09,5.0,2.55e-08
-0.08282828282828283,-1.1000000000000001e-09,5.0,2.29e-08
-0.0787878787878788,-9e-10,5.0,2.88e-08
-0.07474747474747476,-1.2e-09,5.0,3.05e-08
-0.07070707070707072,-1.5e-09,5.0,3.4e-08
-0.06666666666666668,-1e-09,5.0,3.55e-08
-0.06262626262626264,-9e-10,5.0,4.22e-08
-0.0585858585858586,-1.3e-09,5.0,4.6200000000000003e-08
-0.054545454545454564,-8e-10,5.0,5.2e-08
-0.050505050505050525,-8e-10,5.0,5.5e-08
-0.046464646464646486,-1.1000000000000001e-09,5.0,6.28e-08
-0.04242424242424245,-1.3e-09,5.0,6.600000000000001e-08
-0.03838383838383841,-1.2e-09,5.0,7.24e-08
-0.03434343434343434,-1e-09,5.0,7.760000000000001e-08
-0.030303030303030304,-8e-10,5.0,8.53e-08
-0.026262626262626265,-1.1000000000000001e-09,5.0,9.11e-08
-0.022222222222222227,-9e-10,5.0,9.980000000000001e-08
-0.018181818181818188,-1.3e-09,5.0,1.078e-07
-0.01414141414141415,-9e-10,5.0,1.161e-07
-0.01010101010101011,-8e-10,5.0,1.2530000000000002e-07
-0.006060606060606072,-7.000000000000001e-10,5.0,1.318e-07
-0.002020202020202033,-7.000000000000001e-10,5.0,1.414e-07
0.0020202020202020055,-1e-09,5.0,1.453e-07
0.006060606060606044,-8e-10,5.0,1.541e-07
0.010101010101010083,-1.6e-09,5.0,1.627e-07
0.014141414141414121,-9e-10,5.0,1.699e-07
0.01818181818181816,-9e-10,5.0,1.7670000000000001e-07
0.0222222222222222,-1.1000000000000001e-09,5.0,1.86e-07
0.026262626262626265,-1.1000000000000001e-09,5.0,1.952e-07
0.030303030303030304,-1.2e-09,5.0,1.95e-07
0.03434343434343434,-1.3e-09,5.0,2.04e-07
0.03838383838383838,-1e-09,5.0,2.0700000000000001e-07
0.04242424242424242,-9e-10,5.0,2.15e-07
0.04646464646464646,-1e-09,5.0,2.1900000000000002e-07
0.0505050505050505,-1.3e-09,5.0,2.2900000000000003e-07
0.05454545454545451,-7.000000000000001e-10,5.0,2.3100000000000002e-07
0.058585858585858575,-1.5e-09,5.0,2.33e-07
0.06262626262626264,-1.1000000000000001e-09,5.0,2.4700000000000003e-07
0.06666666666666665,-9e-10,5.0,2.44e-07
0.07070707070707072,-1.1000000000000001e-09,5.0,2.43e-07
0.07474747474747473,-1.4000000000000001e-09,5.0,2.48e-07
0.0787878787878788,-1.2e-09,5.0,2.5000000000000004e-07
0.0828282828282828,-6e-10,5.0,2.55e-07
0.08686868686868687,-8e-10,5.0,2.5700000000000004e-07
0.09090909090909088,-9e-10,5.0,2.6e-07
0.09494949494949495,-7.000000000000001e-10,5.0,2.65e-07
0.09898989898989896,-1e-09,5.0,2.7e-07
0.10303030303030303,-1e-09,5.0,2.62e-07
0.10707070707070704,-9e-10,5.0,2.66e-07
0.1111111111111111,-8e-10,5.0,2.63e-07
0.11515151515151512,-8e-10,5.0,2.7800000000000003e-07
0.11919191919191918,-1e-09,5.0,2.6900000000000004e-07
0.1232323232323232,-1.1000000000000001e-09,5.0,2.7600000000000004e-07
0.12727272727272726,-8e-10,5.0,2.73e-07
0.13131313131313133,-3e-10,5.0,2.75e-07
0.13535353535353534,-9e-10,5.0,2.79e-07
0.1393939393939394,-7.000000000000001e-10,5.0,2.72e-07
0.14343434343434341,-1e-09,5.0,2.8e-07
0.14747474747474748,-6e-10,5.0,2.79e-07
0.1515151515151515,-1e-09,5.0,2.79e-07
0.15555555555555556,-9e-10,5.0,2.77e-07
0.15959595959595957,-1.1000000000000001e-09,5.0,2.79e-07
0.16363636363636364,-1.2e-09,5.0,2.82e-07
0.16767676767676765,-9e-10,5.0,2.7600000000000004e-07
0.1717171717171717,-7.000000000000001e-10,5.0,2.8e-07
0.17575757575757572,-7.000000000000001e-10,5.0,2.7600000000000004e-07
0.1797979797979798,-9e-10,5.0,2.8300000000000003e-07
0.1838383838383838,-9e-10,5.0,2.82e-07
0.18787878787878787,-1.2e-09,5.0,2.82e-07
0.19191919191919193,-3e-10,5.0,2.8e-07
0.19595959595959594,-8e-10,5.0,2.84e-07
0.2,-6e-10,5.0,2.85e-07
