vdm,trash,trash2,v
-0.2,-0.2,0.0,2.968
-0.19595959595959597,-0.196,0.0,2.968
-0.19191919191919193,-0.192,0.0,2.968
-0.1878787878787879,-0.188,0.0,2.97
-0.18383838383838386,-0.184,0.0,2.97
-0.17979797979797982,-0.18,0.0,2.97
-0.17575757575757578,-0.176,0.0,2.97
-0.1717171717171717,-0.1715,0.0,2.97
-0.1676767676767677,-0.1675,0.0,2.97
-0.16363636363636364,-0.1635,0.0,2.97
-0.15959595959595962,-0.1595,0.0,2.97
-0.15555555555555556,-0.1555,0.0,2.97
-0.15151515151515152,-0.1515,0.0,2.97
-0.14747474747474748,-0.1475,0.0,2.97
-0.14343434343434344,-0.14350000000000002,0.0,2.97
-0.1393939393939394,-0.1395,0.0,2.97
-0.13535353535353536,-0.1355,0.0,2.97
-0.13131313131313133,-0.1315,0.0,2.97
-0.1272727272727273,-0.1275,0.0,2.97
-0.12323232323232325,-0.123,0.0,2.97
-0.11919191919191921,-0.11900000000000001,0.0,2.97
-0.11515151515151516,-0.115,0.0,2.97
-0.11111111111111112,-0.111,0.0,2.97
-0.10707070707070708,-0.107,0.0,2.97
-0.10303030303030304,-0.10300000000000001,0.0,2.97
-0.098989898989899,-0.099,0.0,2.97
-0.09494949494949496,-0.095,0.0,2.97
-0.09090909090909093,-0.091,0.0,2.97
-0.08686868686868687,-0.08700000000000001,0.0,2.97
-0.08282828282828283,-0.083,0.0,2.972
-0.0787878787878788,-0.079,0.0,2.972
-0.07474747474747476,-0.0745,0.0,2.972
-0.07070707070707072,-0.07050000000000001,0.0,2.972
-0.06666666666666668,-0.0665,0.0,2.972
-0.06262626262626264,-0.0625,0.0,2.974
-0.0585858585858586,-0.0585,0.0,2.974
-0.054545454545454564,-0.0545,0.0,2.974
-0.050505050505050525,-0.0505,0.0,2.974
-0.046464646464646486,-0.0465,0.0,2.976
-0.04242424242424245,-0.0425,0.0,2.976
-0.03838383838383841,-0.0385,0.0,2.976
-0.03434343434343434,-0.0345,0.0,2.978
-0.030303030303030304,-0.0305,0.0,2.978
-0.026262626262626265,-0.0265,0.0,2.98
-0.022222222222222227,-0.022,0.0,2.982
-0.018181818181818188,-0.018000000000000002,0.0,2.982
-0.01414141414141415,-0.014,0.0,2.984
-0.01010101010101011,-0.01,0.0,2.986
-0.006060606060606072,-0.006,0.0,2.986
-0.002020202020202033,-0.002,0.0,2.988
0.0020202020202020055,0.002,0.0,2.99
0.006060606060606044,0.006,0.0,2.992
0.010101010101010083,0.01,0.0,2.992
0.014141414141414121,0.014,0.0,2.994
0.01818181818181816,0.018000000000000002,0.0,2.996
0.0222222222222222,0.022,0.0,3.0
0.026262626262626265,0.0265,0.0,3.0020000000000002
0.030303030303030304,0.0305,0.0,3.004
0.03434343434343434,0.0345,0.0,3.0060000000000002
0.03838383838383838,0.0385,0.0,3.008
0.04242424242424242,0.0425,0.0,3.0100000000000002
0.04646464646464646,0.0465,0.0,3.012
0.0505050505050505,0.0505,0.0,3.016
0.05454545454545451,0.0545,0.0,3.0180000000000002
0.058585858585858575,0.0585,0.0,3.0220000000000002
0.06262626262626264,0.0625,0.0,3.024
0.06666666666666665,0.0665,0.0,3.0260000000000002
0.07070707070707072,0.07050000000000001,0.0,3.0300000000000002
0.07474747474747473,0.0745,0.0,3.032
0.0787878787878788,0.079,0.0,3.036
0.0828282828282828,0.083,0.0,3.0380000000000003
0.08686868686868687,0.08700000000000001,0.0,3.0420000000000003
0.09090909090909088,0.091,0.0,3.044
0.09494949494949495,0.095,0.0,3.048
0.09898989898989896,0.099,0.0,3.0500000000000003
0.10303030303030303,0.10300000000000001,0.0,3.0540000000000003
0.10707070707070704,0.107,0.0,3.056
0.1111111111111111,0.111,0.0,3.06
0.11515151515151512,0.115,0.0,3.0620000000000003
0.11919191919191918,0.11900000000000001,0.0,3.0660000000000003
0.1232323232323232,0.123,0.0,3.068
0.12727272727272726,0.1275,0.0,3.072
0.13131313131313133,0.1315,0.0,3.076
0.13535353535353534,0.1355,0.0,3.078
0.1393939393939394,0.1395,0.0,3.082
0.14343434343434341,0.14350000000000002,0.0,3.086
0.14747474747474748,0.1475,0.0,3.088
0.1515151515151515,0.1515,0.0,3.092
0.15555555555555556,0.1555,0.0,3.094
0.15959595959595957,0.1595,0.0,3.098
0.16363636363636364,0.1635,0.0,3.102
0.16767676767676765,0.1675,0.0,3.104
0.1717171717171717,0.1715,0.0,3.108
0.17575757575757572,0.176,0.0,3.112
0.1797979797979798,0.18,0.0,3.114
0.1838383838383838,0.184,0.0,3.118
0.18787878787878787,0.188,0.0,3.12
0.19191919191919193,0.192,0.0,3.124
0.19595959595959594,0.196,0.0,3.128
0.2,0.2,0.0,3.13
