vdm,trash,v1,i1
-0.2,-1.04e-08,5.0,-1e-10
-0.19595959595959597,-4.6e-09,5.0,-1.6e-09
-0.19191919191919193,-3.8e-09,5.0,-7.000000000000001e-10
-0.1878787878787879,-2.9e-09,5.0,2e-09
-0.18383838383838386,-2.9e-09,5.0,1.6e-09
-0.17979797979797982,-2.6e-09,5.0,-2e-10
-0.17575757575757578,-2.1e-09,5.0,-9e-10
-0.1717171717171717,-1.7000000000000001e-09,5.0,1e-09
-0.1676767676767677,-2.1e-09,5.0,6e-10
-0.16363636363636364,-6e-09,5.0,-1e-10
-0.15959595959595962,-1.7000000000000001e-09,5.0,2e-10
-0.15555555555555556,-1.8e-09,5.0,3.4000000000000003e-09
-0.15151515151515152,-1.7000000000000001e-09,5.0,3.3e-09
-0.14747474747474748,-1.6e-09,5.0,2.5e-09
-0.14343434343434344,-1.7000000000000001e-09,5.0,3.4000000000000003e-09
-0.1393939393939394,-1.5e-09,5.0,4.2e-09
-0.13535353535353536,-1.6e-09,5.0,3.7e-09
-0.13131313131313133,-1.5e-09,5.0,3.5000000000000003e-09
-0.1272727272727273,-1.2e-09,5.0,4.2e-09
-0.12323232323232325,-1.3e-09,5.0,5.7000000000000006e-09
-0.11919191919191921,-1.3e-09,5.0,8.4e-09
-0.11515151515151516,-1.5e-09,5.0,8.4e-09
-0.11111111111111112,-1.6e-09,5.0,8.9e-09
-0.10707070707070708,-1.2e-09,5.0,1.13e-08
-0.10303030303030304,-1.8e-09,5.0,1.51e-08
-0.098989898989899,-1.3e-09,5.0,1.74e-08
-0.09494949494949496,-1.3e-09,5.0,1.89e-08
-0.09090909090909093,-1e-09,5.0,1.9e-08
-0.08686868686868687,-1.4000000000000001e-09,5.0,2.32e-08
-0.08282828282828283,-1.2e-09,5.0,2.44e-08
-0.0787878787878788,-1.8e-09,5.0,2.7e-08
-0.07474747474747476,-1.6e-09,5.0,3.17e-08
-0.07070707070707072,-1.5e-09,5.0,3.39e-08
-0.06666666666666668,-1e-09,5.0,3.73e-08
-0.06262626262626264,-1e-09,5.0,4.14e-08
-0.0585858585858586,-1.2e-09,5.0,4.83e-08
-0.054545454545454564,-1.3e-09,5.0,5.39e-08
-0.050505050505050525,-1.5e-09,5.0,5.99e-08
-0.046464646464646486,-1.2e-09,5.0,6.56e-08
-0.04242424242424245,-1e-09,5.0,6.84e-08
-0.03838383838383841,-9e-10,5.0,7.43e-08
-0.03434343434343434,-1.1000000000000001e-09,5.0,8.19e-08
-0.030303030303030304,-9e-10,5.0,9.16e-08
-0.026262626262626265,-9e-10,5.0,9.59e-08
-0.022222222222222227,-1e-09,5.0,1.061e-07
-0.018181818181818188,-1.1000000000000001e-09,5.0,1.135e-07
-0.01414141414141415,-1.1000000000000001e-09,5.0,1.1850000000000001e-07
-0.01010101010101011,-7.000000000000001e-10,5.0,1.283e-07
-0.006060606060606072,-3e-10,5.0,1.365e-07
-0.002020202020202033,-9e-10,5.0,1.467e-07
0.0020202020202020055,-1.1000000000000001e-09,5.0,1.541e-07
0.006060606060606044,-1e-09,5.0,1.5630000000000002e-07
0.010101010101010083,-1.3e-09,5.0,1.7000000000000001e-07
0.014141414141414121,-1.1000000000000001e-09,5.0,1.7600000000000001e-07
0.01818181818181816,-8e-10,5.0,1.851e-07
0.0222222222222222,-1.2e-09,5.0,1.932e-07
0.026262626262626265,-1.4000000000000001e-09,5.0,1.9900000000000002e-07
0.030303030303030304,-9e-10,5.0,2.08e-07
