vdm,trash,trash2,v
-0.2,-0.2,0.0,1.369
-0.19595959595959597,-0.196,0.0,1.369
-0.19191919191919193,-0.192,0.0,1.369
-0.1878787878787879,-0.188,0.0,1.369
-0.18383838383838386,-0.184,0.0,1.369
-0.17979797979797982,-0.18,0.0,1.369
-0.17575757575757578,-0.176,0.0,1.369
-0.1717171717171717,-0.1715,0.0,1.369
-0.1676767676767677,-0.1675,0.0,1.369
-0.16363636363636364,-0.1635,0.0,1.369
-0.15959595959595962,-0.1595,0.0,1.369
-0.15555555555555556,-0.1555,0.0,1.369
-0.15151515151515152,-0.1515,0.0,1.369
-0.14747474747474748,-0.1475,0.0,1.369
-0.14343434343434344,-0.14350000000000002,0.0,1.369
-0.1393939393939394,-0.1395,0.0,1.369
-0.13535353535353536,-0.1355,0.0,1.369
-0.13131313131313133,-0.1315,0.0,1.369
-0.1272727272727273,-0.1275,0.0,1.369
-0.12323232323232325,-0.123,0.0,1.369
-0.11919191919191921,-0.11900000000000001,0.0,1.369
-0.11515151515151516,-0.115,0.0,1.37
-0.11111111111111112,-0.111,0.0,1.37
-0.10707070707070708,-0.107,0.0,1.37
-0.10303030303030304,-0.10300000000000001,0.0,1.37
-0.098989898989899,-0.099,0.0,1.37
-0.09494949494949496,-0.095,0.0,1.37
-0.09090909090909093,-0.091,0.0,1.371
-0.08686868686868687,-0.08700000000000001,0.0,1.371
-0.08282828282828283,-0.083,0.0,1.371
-0.0787878787878788,-0.079,0.0,1.372
-0.07474747474747476,-0.0745,0.0,1.372
-0.07070707070707072,-0.07050000000000001,0.0,1.372
-0.06666666666666668,-0.0665,0.0,1.373
-0.06262626262626264,-0.0625,0.0,1.373
-0.0585858585858586,-0.0585,0.0,1.374
-0.054545454545454564,-0.0545,0.0,1.374
-0.050505050505050525,-0.0505,0.0,1.375
-0.046464646464646486,-0.0465,0.0,1.375
-0.04242424242424245,-0.0425,0.0,1.3760000000000001
-0.03838383838383841,-0.0385,0.0,1.377
-0.03434343434343434,-0.0345,0.0,1.3780000000000001
-0.030303030303030304,-0.0305,0.0,1.379
-0.026262626262626265,-0.0265,0.0,1.3800000000000001
-0.022222222222222227,-0.022,0.0,1.3820000000000001
-0.018181818181818188,-0.018000000000000002,0.0,1.3820000000000001
-0.01414141414141415,-0.014,0.0,1.3840000000000001
-0.01010101010101011,-0.01,0.0,1.385
-0.006060606060606072,-0.006,0.0,1.3860000000000001
-0.002020202020202033,-0.002,0.0,1.3880000000000001
0.0020202020202020055,0.002,0.0,1.389
0.006060606060606044,0.006,0.0,1.391
0.010101010101010083,0.01,0.0,1.393
0.014141414141414121,0.014,0.0,1.3940000000000001
0.01818181818181816,0.018000000000000002,0.0,1.397
0.0222222222222222,0.022,0.0,1.3980000000000001
0.026262626262626265,0.0265,0.0,1.401
0.030303030303030304,0.0305,0.0,1.403
0.03434343434343434,0.0345,0.0,1.405
0.03838383838383838,0.0385,0.0,1.407
0.04242424242424242,0.0425,0.0,1.41
0.04646464646464646,0.0465,0.0,1.412
0.0505050505050505,0.0505,0.0,1.414
0.05454545454545451,0.0545,0.0,1.417
0.058585858585858575,0.0585,0.0,1.419
0.06262626262626264,0.0625,0.0,1.422
0.06666666666666665,0.0665,0.0,1.425
0.07070707070707072,0.07050000000000001,0.0,1.427
0.07474747474747473,0.0745,0.0,1.43
0.0787878787878788,0.079,0.0,1.433
0.0828282828282828,0.083,0.0,1.436
0.08686868686868687,0.08700000000000001,0.0,1.439
0.09090909090909088,0.091,0.0,1.441
0.09494949494949495,0.095,0.0,1.444
0.09898989898989896,0.099,0.0,1.447
0.10303030303030303,0.10300000000000001,0.0,1.45
0.10707070707070704,0.107,0.0,1.453
0.1111111111111111,0.111,0.0,1.456
0.11515151515151512,0.115,0.0,1.459
0.11919191919191918,0.11900000000000001,0.0,1.462
0.1232323232323232,0.123,0.0,1.465
0.12727272727272726,0.1275,0.0,1.468
0.13131313131313133,0.1315,0.0,1.471
0.13535353535353534,0.1355,0.0,1.474
0.1393939393939394,0.1395,0.0,1.477
0.14343434343434341,0.14350000000000002,0.0,1.48
0.14747474747474748,0.1475,0.0,1.483
0.1515151515151515,0.1515,0.0,1.486
0.15555555555555556,0.1555,0.0,1.489
0.15959595959595957,0.1595,0.0,1.492
0.16363636363636364,0.1635,0.0,1.495
0.16767676767676765,0.1675,0.0,1.498
0.1717171717171717,0.1715,0.0,1.502
0.17575757575757572,0.176,0.0,1.5050000000000001
0.1797979797979798,0.18,0.0,1.508
0.1838383838383838,0.184,0.0,1.5110000000000001
0.18787878787878787,0.188,0.0,1.514
0.19191919191919193,0.192,0.0,1.5170000000000001
0.19595959595959594,0.196,0.0,1.52
0.2,0.2,0.0,1.5230000000000001
