vdm,trash,v1,i2
-0.2,-1.08e-08,5.0,3.18e-07
-0.19595959595959597,-4.2e-09,5.0,3.23e-07
-0.19191919191919193,-2.8000000000000003e-09,5.0,3.23e-07
-0.1878787878787879,-3.1e-09,5.0,3.1900000000000004e-07
-0.18383838383838386,-2.2000000000000003e-09,5.0,3.16e-07
-0.17979797979797982,-2.3e-09,5.0,3.1900000000000004e-07
-0.17575757575757578,-2.1e-09,5.0,3.2e-07
-0.1717171717171717,-1.8e-09,5.0,3.1900000000000004e-07
-0.1676767676767677,-1.1000000000000001e-09,5.0,3.2400000000000004e-07
-0.16363636363636364,-1.7000000000000001e-09,5.0,3.22e-07
-0.15959595959595962,-1.3e-09,5.0,3.2e-07
-0.15555555555555556,-1.5e-09,5.0,3.1700000000000005e-07
-0.15151515151515152,-1.3e-09,5.0,3.1700000000000005e-07
-0.14747474747474748,-1.4000000000000001e-09,5.0,3.18e-07
-0.14343434343434344,-1.5e-09,5.0,3.16e-07
-0.1393939393939394,-1.4000000000000001e-09,5.0,3.1900000000000004e-07
-0.13535353535353536,-1.5e-09,5.0,3.1400000000000003e-07
-0.13131313131313133,-8e-10,5.0,3.1400000000000003e-07
-0.1272727272727273,-1e-09,5.0,3.13e-07
-0.12323232323232325,-9e-10,5.0,3.13e-07
-0.11919191919191921,-1e-09,5.0,3.0900000000000003e-07
-0.11515151515151516,-9e-10,5.0,3.1400000000000003e-07
-0.11111111111111112,-1.2e-09,5.0,3.1e-07
-0.10707070707070708,-1.2e-09,5.0,3.11e-07
-0.10303030303030304,-1.2e-09,5.0,3.06e-07
-0.098989898989899,-1e-09,5.0,3.08e-07
-0.09494949494949496,-1.1000000000000001e-09,5.0,3.01e-07
-0.09090909090909093,-1.8e-09,5.0,2.99e-07
-0.08686868686868687,-9e-10,5.0,2.99e-07
-0.08282828282828283,-1.4000000000000001e-09,5.0,2.96e-07
-0.0787878787878788,-1.2e-09,5.0,2.97e-07
-0.07474747474747476,-9e-10,5.0,2.9000000000000003e-07
-0.07070707070707072,-9e-10,5.0,2.86e-07
-0.06666666666666668,-7.000000000000001e-10,5.0,2.7800000000000003e-07
-0.06262626262626264,-1e-09,5.0,2.7800000000000003e-07
-0.0585858585858586,-9e-10,5.0,2.73e-07
-0.054545454545454564,-7.000000000000001e-10,5.0,2.66e-07
-0.050505050505050525,-7.000000000000001e-10,5.0,2.6400000000000003e-07
-0.046464646464646486,-1.5e-09,5.0,2.58e-07
-0.04242424242424245,-8e-10,5.0,2.48e-07
-0.03838383838383841,-9e-10,5.0,2.41e-07
-0.03434343434343434,-1.2e-09,5.0,2.3000000000000002e-07
-0.030303030303030304,-8e-10,5.0,2.32e-07
-0.026262626262626265,-1e-09,5.0,2.1700000000000002e-07
-0.022222222222222227,-1.2e-09,5.0,2.1300000000000001e-07
-0.018181818181818188,-8e-10,5.0,2.01e-07
-0.01414141414141415,-7.000000000000001e-10,5.0,1.9300000000000002e-07
-0.01010101010101011,-1.1000000000000001e-09,5.0,1.85e-07
-0.006060606060606072,-8e-10,5.0,1.7400000000000002e-07
-0.002020202020202033,-9e-10,5.0,1.67e-07
0.0020202020202020055,-1e-09,5.0,1.53e-07
0.006060606060606044,-1.1000000000000001e-09,5.0,1.47e-07
0.010101010101010083,-3e-10,5.0,1.35e-07
0.014141414141414121,-1.5e-09,5.0,1.31e-07
0.01818181818181816,-1.2e-09,5.0,1.17e-07
0.0222222222222222,-7.000000000000001e-10,5.0,1.1e-07
0.026262626262626265,-1e-09,5.0,9.8e-08
0.030303030303030304,-5e-10,5.0,9.700000000000001e-08
0.03434343434343434,-8e-10,5.0,9.09e-08
0.03838383838383838,-1.1000000000000001e-09,5.0,8.080000000000001e-08
0.04242424242424242,-5e-10,5.0,7.6e-08
0.04646464646464646,-8e-10,5.0,7.08e-08
0.0505050505050505,-1.1000000000000001e-09,5.0,6.230000000000001e-08
0.05454545454545451,-7.000000000000001e-10,5.0,5.86e-08
0.058585858585858575,-1.5e-09,5.0,5.18e-08
0.06262626262626264,-1e-09,5.0,4.69e-08
0.06666666666666665,-1.2e-09,5.0,4.1900000000000005e-08
0.07070707070707072,-1.1000000000000001e-09,5.0,4.06e-08
0.07474747474747473,-8e-10,5.0,3.34e-08
0.0787878787878788,-7.000000000000001e-10,5.0,2.9800000000000002e-08
0.0828282828282828,-1.1000000000000001e-09,5.0,2.5000000000000002e-08
0.08686868686868687,-9e-10,5.0,2.48e-08
0.09090909090909088,-1e-09,5.0,2.52e-08
0.09494949494949495,-4e-10,5.0,1.9100000000000002e-08
0.09898989898989896,-9e-10,5.0,1.85e-08
0.10303030303030303,-1.4000000000000001e-09,5.0,1.6e-08
0.10707070707070704,-1e-09,5.0,1.2700000000000001e-08
0.1111111111111111,-1.1000000000000001e-09,5.0,1.2300000000000001e-08
0.11515151515151512,-1.4000000000000001e-09,5.0,1.07e-08
0.11919191919191918,-3e-10,5.0,8.2e-09
0.1232323232323232,-1.3e-09,5.0,7.500000000000001e-09
0.12727272727272726,-1.2e-09,5.0,5.3e-09
0.13131313131313133,-1e-09,5.0,4.4000000000000005e-09
0.13535353535353534,-1.1000000000000001e-09,5.0,6.7000000000000004e-09
0.1393939393939394,-5e-10,5.0,6.2e-09
0.14343434343434341,-1.4000000000000001e-09,5.0,2.2000000000000003e-09
0.14747474747474748,-8e-10,5.0,1.4000000000000001e-09
0.1515151515151515,-6e-10,5.0,4e-09
0.15555555555555556,-1.2e-09,5.0,3e-10
0.15959595959595957,-7.000000000000001e-10,5.0,1.9e-09
0.16363636363636364,-7.000000000000001e-10,5.0,-4e-10
0.16767676767676765,-1.2e-09,5.0,2e-09
0.1717171717171717,-9e-10,5.0,2.9e-09
0.17575757575757572,-1.1000000000000001e-09,5.0,-3e-10
0.1797979797979798,-7.000000000000001e-10,5.0,9e-10
0.1838383838383838,-1.1000000000000001e-09,5.0,8e-10
0.18787878787878787,-4e-10,5.0,-8e-10
0.19191919191919193,-7.000000000000001e-10,5.0,-1.2e-09
0.19595959595959594,-5e-10,5.0,-1.5e-09
0.2,-1e-10,5.0,-1e-09
