v_b,v
-0.2,2.786
-0.19595959595959597,2.7840000000000003
-0.19191919191919193,2.7840000000000003
-0.1878787878787879,2.7840000000000003
-0.18383838383838386,2.786
-0.17979797979797982,2.786
-0.17575757575757578,2.786
-0.1717171717171717,2.786
-0.1676767676767677,2.786
-0.16363636363636364,2.7880000000000003
-0.15959595959595962,2.7880000000000003
-0.15555555555555556,2.7880000000000003
-0.15151515151515152,2.79
-0.14747474747474748,2.79
-0.14343434343434344,2.79
-0.1393939393939394,2.7920000000000003
-0.13535353535353536,2.7920000000000003
-0.13131313131313133,2.7920000000000003
-0.1272727272727273,2.794
-0.12323232323232325,2.794
-0.11919191919191921,2.7960000000000003
-0.11515151515151516,2.7960000000000003
-0.11111111111111112,2.7960000000000003
-0.10707070707070708,2.798
-0.10303030303030304,2.798
-0.098989898989899,2.8000000000000003
-0.09494949494949496,2.8000000000000003
-0.09090909090909093,2.802
-0.08686868686868687,2.802
-0.08282828282828283,2.8040000000000003
-0.0787878787878788,2.8040000000000003
-0.07474747474747476,2.806
-0.07070707070707072,2.8080000000000003
-0.06666666666666668,2.8080000000000003
-0.06262626262626264,2.81
-0.0585858585858586,2.81
-0.054545454545454564,2.8120000000000003
-0.050505050505050525,2.814
-0.046464646464646486,2.814
-0.04242424242424245,2.816
-0.03838383838383841,2.818
-0.03434343434343434,2.818
-0.030303030303030304,2.82
-0.026262626262626265,2.822
-0.022222222222222227,2.824
-0.018181818181818188,2.826
-0.01414141414141415,2.826
-0.01010101010101011,2.828
-0.006060606060606072,2.83
-0.002020202020202033,2.832
0.0020202020202020055,2.834
0.006060606060606044,2.834
0.010101010101010083,2.836
0.014141414141414121,2.838
0.01818181818181816,2.84
0.0222222222222222,2.842
0.026262626262626265,2.844
0.030303030303030304,2.846
0.03434343434343434,2.848
0.03838383838383838,2.85
0.04242424242424242,2.852
0.04646464646464646,2.852
0.0505050505050505,2.856
0.05454545454545451,2.858
0.058585858585858575,2.858
0.06262626262626264,2.862
0.06666666666666665,2.864
0.07070707070707072,2.864
0.07474747474747473,2.866
0.0787878787878788,2.87
0.0828282828282828,2.872
0.08686868686868687,2.874
0.09090909090909088,2.876
0.09494949494949495,2.878
0.09898989898989896,2.88
0.10303030303030303,2.882
0.10707070707070704,2.884
0.1111111111111111,2.888
0.11515151515151512,2.89
0.11919191919191918,2.892
0.1232323232323232,2.894
0.12727272727272726,2.898
0.13131313131313133,2.9
0.13535353535353534,2.902
0.1393939393939394,2.904
0.14343434343434341,2.908
0.14747474747474748,2.91
0.1515151515151515,2.912
0.15555555555555556,2.914
0.15959595959595957,2.918
0.16363636363636364,2.92
0.16767676767676765,2.922
0.1717171717171717,2.926
0.17575757575757572,2.93
0.1797979797979798,2.932
0.1838383838383838,2.934
0.18787878787878787,2.938
0.19191919191919193,2.94
0.19595959595959594,2.944
0.2,2.946
