,vdm,v,i1,i2
0,-0.23,1.244,5.57e-08,6.2e-06
1,-0.2253535353535353,1.244,6.24e-08,6.7e-06
2,-0.2207070707070707,1.244,7.15e-08,6.69e-06
3,-0.216060606060606,1.244,8.14e-08,6.68e-06
4,-0.2114141414141414,1.244,8.69e-08,6.6700000000000005e-06
5,-0.2067676767676767,1.244,1.0230000000000001e-07,6.66e-06
6,-0.2021212121212121,1.244,1.158e-07,6.65e-06
7,-0.1974747474747474,1.244,1.3090000000000001e-07,6.63e-06
8,-0.1928282828282828,1.244,1.47e-07,6.61e-06
9,-0.1881818181818181,1.245,1.714e-07,6.59e-06
10,-0.1835353535353535,1.245,1.89e-07,6.57e-06
11,-0.1788888888888889,1.245,2.1100000000000002e-07,6.55e-06
12,-0.1742424242424242,1.245,2.3800000000000001e-07,6.52e-06
13,-0.1695959595959596,1.246,2.68e-07,6.5e-06
14,-0.1649494949494949,1.246,2.94e-07,6.46e-06
15,-0.1603030303030303,1.246,3.330000000000001e-07,6.43e-06
16,-0.1556565656565656,1.246,3.720000000000001e-07,6.39e-06
17,-0.151010101010101,1.247,4.16e-07,6.34e-06
18,-0.1463636363636363,1.247,4.56e-07,6.3e-06
19,-0.1417171717171717,1.248,5.070000000000001e-07,6.25e-06
20,-0.137070707070707,1.248,5.6e-07,6.2e-06
21,-0.1324242424242424,1.249,6.12e-07,6.15e-06
22,-0.1277777777777777,1.249,6.71e-07,6.09e-06
23,-0.1231313131313131,1.25,7.32e-07,6.03e-06
24,-0.1184848484848484,1.251,7.98e-07,5.9600000000000005e-06
25,-0.1138383838383838,1.251,8.64e-07,5.9e-06
26,-0.1091919191919191,1.252,9.47e-07,5.82e-06
27,-0.1045454545454545,1.253,1.018e-06,5.74e-06
28,-0.0998989898989899,1.254,1.0930000000000002e-06,5.67e-06
29,-0.0952525252525252,1.254,1.184e-06,5.58e-06
30,-0.0906060606060606,1.255,1.269e-06,5.49e-06
31,-0.0859595959595959,1.256,1.363e-06,5.41e-06
32,-0.0813131313131313,1.257,1.446e-06,5.32e-06
33,-0.0766666666666666,1.258,1.552e-06,5.21e-06
34,-0.072020202020202,1.259,1.65e-06,5.12e-06
35,-0.0673737373737373,1.26,1.7470000000000002e-06,5.02e-06
36,-0.0627272727272727,1.261,1.865e-06,4.9000000000000005e-06
37,-0.058080808080808,1.263,1.973e-06,4.79e-06
38,-0.0534343434343434,1.264,2.03e-06,4.68e-06
39,-0.0487878787878787,1.265,2.14e-06,4.57e-06
40,-0.0441414141414141,1.267,2.27e-06,4.45e-06
41,-0.0394949494949495,1.268,2.39e-06,4.33e-06
42,-0.0348484848484848,1.27,2.5e-06,4.22e-06
43,-0.0302020202020202,1.271,2.64e-06,4.08e-06
44,-0.0255555555555555,1.273,2.7600000000000003e-06,3.96e-06
45,-0.0209090909090909,1.274,2.88e-06,3.83e-06
46,-0.0162626262626262,1.276,3e-06,3.71e-06
47,-0.0116161616161616,1.278,3.14e-06,3.58e-06
48,-0.0069696969696969,1.279,3.27e-06,3.45e-06
49,-0.0023232323232323,1.281,3.39e-06,3.32e-06
50,0.0023232323232323,1.283,3.53e-06,3.19e-06
51,0.0069696969696969,1.285,3.65e-06,3.06e-06
52,0.0116161616161616,1.287,3.77e-06,2.94e-06
53,0.0162626262626262,1.289,3.91e-06,2.81e-06
54,0.0209090909090909,1.291,4.03e-06,2.69e-06
55,0.0255555555555555,1.293,4.15e-06,2.57e-06
56,0.0302020202020202,1.295,4.27e-06,2.46e-06
57,0.0348484848484848,1.298,4.39e-06,2.33e-06
58,0.0394949494949495,1.3,4.5e-06,2.21e-06
59,0.0441414141414141,1.302,4.62e-06,2.1e-06
60,0.0487878787878788,1.304,4.74e-06,1.98e-06
61,0.0534343434343434,1.307,4.85e-06,1.87e-06
62,0.058080808080808,1.309,4.95e-06,1.77e-06
63,0.0627272727272727,1.311,5.05e-06,1.66e-06
64,0.0673737373737373,1.314,5.1700000000000005e-06,1.55e-06
65,0.072020202020202,1.316,5.27e-06,1.45e-06
66,0.0766666666666666,1.319,5.35e-06,1.36e-06
67,0.0813131313131313,1.322,5.45e-06,1.27e-06
68,0.0859595959595959,1.324,5.54e-06,1.17e-06
69,0.0906060606060606,1.327,5.63e-06,1.09e-06
70,0.0952525252525252,1.33,5.72e-06,1e-06
71,0.0998989898989899,1.333,5.7900000000000005e-06,9.77e-07
72,0.1045454545454545,1.335,5.86e-06,9.01e-07
73,0.1091919191919192,1.338,5.93e-06,8.310000000000001e-07
