,vdm,v,i1,i2
0,-0.23,2.846,4.53e-08,6.9400000000000005e-06
1,-0.2253535353535353,2.846,4.95e-08,6.9300000000000006e-06
2,-0.2207070707070707,2.848,5.670000000000001e-08,6.9300000000000006e-06
3,-0.216060606060606,2.848,6.59e-08,6.92e-06
4,-0.2114141414141414,2.848,7.51e-08,6.91e-06
5,-0.2067676767676767,2.848,8.41e-08,6.9e-06
6,-0.2021212121212121,2.848,9.92e-08,6.89e-06
7,-0.1974747474747474,2.848,1.115e-07,6.87e-06
8,-0.1928282828282828,2.848,1.257e-07,6.86e-06
9,-0.1881818181818181,2.848,1.451e-07,6.84e-06
10,-0.1835353535353535,2.848,1.633e-07,6.82e-06
11,-0.1788888888888889,2.848,1.835e-07,6.8e-06
12,-0.1742424242424242,2.848,2.08e-07,6.78e-06
13,-0.1695959595959596,2.848,2.34e-07,6.74e-06
14,-0.1649494949494949,2.848,2.62e-07,6.72e-06
15,-0.1603030303030303,2.85,2.950000000000001e-07,6.68e-06
16,-0.1556565656565656,2.85,3.3600000000000004e-07,6.64e-06
17,-0.151010101010101,2.85,3.77e-07,6.61e-06
18,-0.1463636363636363,2.85,4.2e-07,6.57e-06
19,-0.1417171717171717,2.85,4.68e-07,6.51e-06
20,-0.137070707070707,2.852,5.2e-07,6.46e-06
21,-0.1324242424242424,2.852,5.68e-07,6.4100000000000005e-06
22,-0.1277777777777777,2.852,6.3e-07,6.35e-06
23,-0.1231313131313131,2.852,6.960000000000001e-07,6.28e-06
24,-0.1184848484848484,2.854,7.64e-07,6.22e-06
25,-0.1138383838383838,2.854,8.310000000000001e-07,6.15e-06
26,-0.1091919191919191,2.856,9.14e-07,6.07e-06
27,-0.1045454545454545,2.856,9.85e-07,6e-06
28,-0.0998989898989899,2.856,1.065e-06,5.92e-06
29,-0.0952525252525252,2.858,1.149e-06,5.83e-06
30,-0.0906060606060606,2.858,1.246e-06,5.75e-06
31,-0.0859595959595959,2.86,1.328e-06,5.65e-06
32,-0.0813131313131313,2.86,1.431e-06,5.56e-06
33,-0.0766666666666666,2.862,1.54e-06,5.45e-06
34,-0.072020202020202,2.862,1.6370000000000002e-06,5.35e-06
35,-0.0673737373737373,2.864,1.7470000000000002e-06,5.24e-06
36,-0.0627272727272727,2.864,1.858e-06,5.12e-06
37,-0.058080808080808,2.866,1.978e-06,5.02e-06
38,-0.0534343434343434,2.868,2.04e-06,4.89e-06
39,-0.0487878787878787,2.868,2.16e-06,4.78e-06
40,-0.0441414141414141,2.87,2.29e-06,4.6400000000000005e-06
41,-0.0394949494949495,2.872,2.42e-06,4.52e-06
42,-0.0348484848484848,2.874,2.55e-06,4.39e-06
43,-0.0302020202020202,2.874,2.68e-06,4.25e-06
44,-0.0255555555555555,2.876,2.82e-06,4.12e-06
45,-0.0209090909090909,2.878,2.94e-06,3.99e-06
46,-0.0162626262626262,2.88,3.0700000000000003e-06,3.86e-06
47,-0.0116161616161616,2.882,3.21e-06,3.72e-06
48,-0.0069696969696969,2.884,3.35e-06,3.59e-06
49,-0.0023232323232323,2.886,3.48e-06,3.45e-06
50,0.0023232323232323,2.888,3.63e-06,3.3e-06
51,0.0069696969696969,2.89,3.75e-06,3.18e-06
52,0.0116161616161616,2.892,3.89e-06,3.05e-06
53,0.0162626262626262,2.894,4.03e-06,2.9e-06
54,0.0209090909090909,2.896,4.15e-06,2.78e-06
55,0.0255555555555555,2.898,4.28e-06,2.65e-06
56,0.0302020202020202,2.9,4.4e-06,2.53e-06
57,0.0348484848484848,2.902,4.54e-06,2.38e-06
58,0.0394949494949495,2.904,4.66e-06,2.27e-06
59,0.0441414141414141,2.908,4.78e-06,2.15e-06
60,0.0487878787878788,2.91,4.91e-06,2.02e-06
61,0.0534343434343434,2.912,5.02e-06,1.91e-06
62,0.058080808080808,2.914,5.14e-06,1.8e-06
63,0.0627272727272727,2.918,5.24e-06,1.69e-06
64,0.0673737373737373,2.92,5.37e-06,1.57e-06
65,0.072020202020202,2.922,5.46e-06,1.47e-06
66,0.0766666666666666,2.926,5.56e-06,1.38e-06
67,0.0813131313131313,2.928,5.67e-06,1.27e-06
68,0.0859595959595959,2.932,5.76e-06,1.18e-06
69,0.0906060606060606,2.934,5.84e-06,1.09e-06
70,0.0952525252525252,2.938,5.94e-06,1e-06
71,0.0998989898989899,2.94,6.02e-06,9.660000000000002e-07
72,0.1045454545454545,2.944,6.09e-06,8.88e-07
73,0.1091919191919192,2.946,6.16e-06,8.18e-07
74,0.1138383838383838,2.95,6.24e-06,7.440000000000001e-07
75,0.1184848484848485,2.952,6.3e-06,6.77e-07
76,0.1231313131313131,2.956,6.36e-06,6.19e-07
77,0.1277777777777778,2.96,6.43e-06,5.550000000000001e-07
78,0.1324242424242424,2.962,6.47e-06,5.070000000000001e-07
79,0.1370707070707071,2.966,6.52e-06,4.580000000000001e-07
80,0.1417171717171717,2.968,6.57e-06,4.1700000000000004e-07
81,0.1463636363636364,2.972,6.61e-06,3.68e-07
82,0.151010101010101,2.976,6.65e-06,3.3e-07
83,0.1556565656565657,2.978,6.68e-06,2.99e-07
84,0.1603030303030303,2.982,6.72e-06,2.54e-07
85,0.1649494949494949,2.986,6.75e-06,2.3000000000000002e-07
86,0.1695959595959596,2.99,6.78e-06,2.0500000000000002e-07
87,0.1742424242424242,2.992,6.8e-06,1.8200000000000002e-07
88,0.1788888888888889,2.996,6.83e-06,1.61e-07
89,0.1835353535353535,3.0,6.84e-06,1.42e-07
90,0.1881818181818182,3.004,6.86e-06,1.27e-07
91,0.1928282828282828,3.008,6.87e-06,1.0900000000000001e-07
92,0.1974747474747475,3.012,6.89e-06,1.002e-07
93,0.2021212121212121,3.016,6.9e-06,8.55e-08
94,0.2067676767676768,3.018,6.91e-06,7.39e-08
95,0.2114141414141414,3.022,6.92e-06,6.72e-08
96,0.2160606060606061,3.026,6.9300000000000006e-06,5.57e-08
97,0.2207070707070707,3.03,6.9300000000000006e-06,4.75e-08
98,0.2253535353535354,3.0340000000000003,6.95e-06,4.22e-08
99,0.23,3.0380000000000003,6.95e-06,3.67e-08
