,vdm,v,i1,i2
0,-0.23,1.244,5.25e-08,6.7e-06
1,-0.2253535353535353,1.244,5.93e-08,6.7e-06
2,-0.2207070707070707,1.244,7.110000000000002e-08,6.68e-06
3,-0.216060606060606,1.244,7.93e-08,6.6700000000000005e-06
4,-0.2114141414141414,1.244,9.07e-08,6.6700000000000005e-06
5,-0.2067676767676767,1.244,1.025e-07,6.66e-06
6,-0.2021212121212121,1.244,1.195e-07,6.64e-06
7,-0.1974747474747474,1.244,1.335e-07,6.63e-06
8,-0.1928282828282828,1.244,1.493e-07,6.6e-06
9,-0.1881818181818181,1.245,1.6830000000000004e-07,6.59e-06
10,-0.1835353535353535,1.245,1.9150000000000001e-07,6.56e-06
11,-0.1788888888888889,1.245,2.1300000000000001e-07,6.55e-06
12,-0.1742424242424242,1.245,2.3500000000000005e-07,6.52e-06
13,-0.1695959595959596,1.246,2.65e-07,6.48e-06
14,-0.1649494949494949,1.246,2.950000000000001e-07,6.45e-06
15,-0.1603030303030303,1.246,3.3e-07,6.42e-06
16,-0.1556565656565656,1.246,3.6900000000000004e-07,6.38e-06
17,-0.151010101010101,1.247,4.11e-07,6.34e-06
18,-0.1463636363636363,1.247,4.56e-07,6.29e-06
19,-0.1417171717171717,1.248,5.09e-07,6.25e-06
20,-0.137070707070707,1.248,5.550000000000001e-07,6.19e-06
21,-0.1324242424242424,1.249,6.140000000000001e-07,6.15e-06
22,-0.1277777777777777,1.249,6.74e-07,6.09e-06
23,-0.1231313131313131,1.25,7.380000000000001e-07,6.02e-06
24,-0.1184848484848484,1.251,7.990000000000001e-07,5.9600000000000005e-06
25,-0.1138383838383838,1.251,8.63e-07,5.89e-06
26,-0.1091919191919191,1.252,9.48e-07,5.81e-06
27,-0.1045454545454545,1.253,1.017e-06,5.75e-06
28,-0.0998989898989899,1.254,1.091e-06,5.67e-06
29,-0.0952525252525252,1.254,1.174e-06,5.59e-06
30,-0.0906060606060606,1.255,1.2680000000000002e-06,5.48e-06
31,-0.0859595959595959,1.256,1.36e-06,5.41e-06
32,-0.0813131313131313,1.257,1.446e-06,5.31e-06
33,-0.0766666666666666,1.258,1.5500000000000002e-06,5.21e-06
34,-0.072020202020202,1.259,1.648e-06,5.11e-06
35,-0.0673737373737373,1.26,1.745e-06,5.02e-06
36,-0.0627272727272727,1.261,1.861e-06,4.9000000000000005e-06
37,-0.058080808080808,1.263,1.97e-06,4.79e-06
38,-0.0534343434343434,1.264,2.03e-06,4.68e-06
39,-0.0487878787878787,1.265,2.13e-06,4.57e-06
40,-0.0441414141414141,1.267,2.26e-06,4.44e-06
41,-0.0394949494949495,1.268,2.38e-06,4.33e-06
42,-0.0348484848484848,1.27,2.5e-06,4.21e-06
43,-0.0302020202020202,1.271,2.63e-06,4.08e-06
44,-0.0255555555555555,1.273,2.7600000000000003e-06,3.96e-06
45,-0.0209090909090909,1.274,2.87e-06,3.82e-06
46,-0.0162626262626262,1.276,3e-06,3.71e-06
47,-0.0116161616161616,1.278,3.14e-06,3.57e-06
48,-0.0069696969696969,1.279,3.26e-06,3.44e-06
49,-0.0023232323232323,1.281,3.39e-06,3.32e-06
50,0.0023232323232323,1.283,3.53e-06,3.19e-06
51,0.0069696969696969,1.285,3.65e-06,3.06e-06
52,0.0116161616161616,1.287,3.76e-06,2.94e-06
53,0.0162626262626262,1.289,3.9e-06,2.81e-06
54,0.0209090909090909,1.291,4.0200000000000005e-06,2.69e-06
55,0.0255555555555555,1.293,4.14e-06,2.57e-06
56,0.0302020202020202,1.295,4.25e-06,2.4500000000000003e-06
57,0.0348484848484848,1.298,4.38e-06,2.32e-06
58,0.0394949494949495,1.3,4.5e-06,2.21e-06
59,0.0441414141414141,1.302,4.61e-06,2.11e-06
60,0.0487878787878788,1.304,4.7300000000000005e-06,1.98e-06
61,0.0534343434343434,1.307,4.84e-06,1.87e-06
62,0.058080808080808,1.309,4.95e-06,1.77e-06
63,0.0627272727272727,1.311,5.05e-06,1.66e-06
64,0.0673737373737373,1.314,5.1700000000000005e-06,1.55e-06
65,0.072020202020202,1.317,5.2600000000000005e-06,1.46e-06
66,0.0766666666666666,1.319,5.36e-06,1.36e-06
67,0.0813131313131313,1.322,5.45e-06,1.26e-06
68,0.0859595959595959,1.324,5.53e-06,1.18e-06
69,0.0906060606060606,1.327,5.62e-06,1.09e-06
70,0.0952525252525252,1.33,5.71e-06,1e-06
71,0.0998989898989899,1.333,5.7900000000000005e-06,9.74e-07
72,0.1045454545454545,1.335,5.86e-06,9.07e-07
73,0.1091919191919192,1.338,5.93e-06,8.29e-07
74,0.1138383838383838,1.341,6e-06,7.650000000000001e-07
75,0.1184848484848485,1.344,6.07e-06,7.05e-07
76,0.1231313131313131,1.347,6.12e-06,6.420000000000001e-07
77,0.1277777777777778,1.35,6.18e-06,5.77e-07
78,0.1324242424242424,1.353,6.2300000000000005e-06,5.24e-07
79,0.1370707070707071,1.356,6.28e-06,4.79e-07
80,0.1417171717171717,1.359,6.33e-06,4.340000000000001e-07
81,0.1463636363636364,1.363,6.37e-06,3.910000000000001e-07
82,0.151010101010101,1.366,6.4100000000000005e-06,3.51e-07
83,0.1556565656565657,1.369,6.45e-06,3.1700000000000005e-07
84,0.1603030303030303,1.373,6.48e-06,2.75e-07
85,0.1649494949494949,1.376,6.5e-06,2.520000000000001e-07
86,0.1695959595959596,1.379,6.54e-06,2.27e-07
87,0.1742424242424242,1.382,6.56e-06,2.04e-07
88,0.1788888888888889,1.386,6.5800000000000005e-06,1.8000000000000002e-07
89,0.1835353535353535,1.389,6.6e-06,1.58e-07
90,0.1881818181818182,1.392,6.63e-06,1.3800000000000004e-07
91,0.1928282828282828,1.396,6.64e-06,1.1900000000000001e-07
92,0.1974747474747475,1.399,6.66e-06,1.05e-07
93,0.2021212121212121,1.403,6.6700000000000005e-06,9.89e-08
94,0.2067676767676768,1.406,6.69e-06,8.41e-08
95,0.2114141414141414,1.41,6.69e-06,7.56e-08
96,0.2160606060606061,1.414,6.71e-06,6.75e-08
97,0.2207070707070707,1.417,6.71e-06,5.84e-08
98,0.2253535353535354,1.421,6.72e-06,4.9900000000000003e-08
99,0.23,1.424,6.73e-06,4.42e-08
