,vdm,v,i1,i2
0,-0.2,2.164,6e-10,3.25e-07
1,-0.1959595959595959,2.164,-9e-10,3.210000000000001e-07
2,-0.1919191919191919,2.164,1e-10,3.23e-07
3,-0.1878787878787879,2.164,-3.2e-09,3.210000000000001e-07
4,-0.1838383838383838,2.164,4e-10,3.18e-07
5,-0.1797979797979798,2.164,-2.9e-09,3.18e-07
6,-0.1757575757575757,2.164,-9e-10,3.2e-07
7,-0.1717171717171717,2.164,1.2e-09,3.23e-07
8,-0.1676767676767677,2.164,1.1e-09,3.23e-07
9,-0.1636363636363636,2.164,2.4e-09,3.190000000000001e-07
10,-0.1595959595959596,2.164,1.9e-09,3.2e-07
11,-0.1555555555555555,2.164,-2e-10,3.140000000000001e-07
12,-0.1515151515151515,2.164,2.4e-09,3.16e-07
13,-0.1474747474747474,2.164,2.3e-09,3.190000000000001e-07
14,-0.1434343434343434,2.164,1.3e-09,3.190000000000001e-07
15,-0.1393939393939394,2.164,2e-09,3.1200000000000004e-07
16,-0.1353535353535353,2.164,2e-09,3.16e-07
17,-0.1313131313131313,2.164,5.2e-09,3.23e-07
18,-0.1272727272727273,2.164,4.9e-09,3.13e-07
19,-0.1232323232323232,2.164,4.9e-09,3.13e-07
20,-0.1191919191919192,2.164,6.9000000000000006e-09,3.090000000000001e-07
21,-0.1151515151515151,2.164,5.8e-09,3.08e-07
22,-0.1111111111111111,2.164,8.4e-09,3.1e-07
23,-0.107070707070707,2.164,1e-08,3.070000000000001e-07
24,-0.103030303030303,2.164,8.9e-09,3.08e-07
25,-0.098989898989899,2.164,1.6100000000000002e-08,3.04e-07
26,-0.0949494949494949,2.164,1.64e-08,3.04e-07
27,-0.0909090909090909,2.166,1.69e-08,3.03e-07
28,-0.0868686868686868,2.166,2.03e-08,2.99e-07
29,-0.0828282828282828,2.166,2.12e-08,2.97e-07
30,-0.0787878787878788,2.166,2.36e-08,2.91e-07
31,-0.0747474747474747,2.166,2.62e-08,2.8800000000000004e-07
32,-0.0707070707070707,2.168,3.03e-08,2.82e-07
33,-0.0666666666666666,2.168,3.34e-08,2.8e-07
34,-0.0626262626262626,2.168,3.84e-08,2.74e-07
35,-0.0585858585858586,2.168,4.26e-08,2.7e-07
36,-0.0545454545454545,2.168,4.65e-08,2.6900000000000004e-07
37,-0.0505050505050505,2.17,5.2e-08,2.640000000000001e-07
38,-0.0464646464646464,2.17,5.8e-08,2.54e-07
39,-0.0424242424242424,2.17,6.39e-08,2.4500000000000004e-07
40,-0.0383838383838384,2.172,6.83e-08,2.41e-07
41,-0.0343434343434343,2.172,7.87e-08,2.32e-07
42,-0.0303030303030303,2.174,8.53e-08,2.28e-07
43,-0.0262626262626262,2.174,8.91e-08,2.2e-07
44,-0.0222222222222222,2.176,9.85e-08,2.1300000000000001e-07
45,-0.0181818181818181,2.178,1.0210000000000001e-07,1.96e-07
46,-0.0141414141414141,2.178,1.115e-07,1.9400000000000002e-07
47,-0.0101010101010101,2.18,1.206e-07,1.8200000000000002e-07
48,-0.006060606060606,2.18,1.291e-07,1.72e-07
49,-0.002020202020202,2.182,1.374e-07,1.66e-07
50,0.002020202020202,2.184,1.431e-07,1.53e-07
51,0.006060606060606,2.186,1.54e-07,1.4500000000000001e-07
52,0.01010101010101,2.188,1.5950000000000005e-07,1.35e-07
53,0.0141414141414141,2.19,1.706e-07,1.3200000000000004e-07
54,0.0181818181818181,2.192,1.762e-07,1.2000000000000004e-07
55,0.0222222222222222,2.194,1.8590000000000002e-07,1.0900000000000001e-07
56,0.0262626262626262,2.196,1.9150000000000001e-07,1.01e-07
57,0.0303030303030303,2.198,1.997e-07,9.860000000000001e-08
58,0.0343434343434343,2.2,2.02e-07,8.870000000000002e-08
59,0.0383838383838383,2.202,2.08e-07,8.11e-08
60,0.0424242424242424,2.206,2.1700000000000002e-07,7.56e-08
61,0.0464646464646464,2.208,2.2400000000000002e-07,7.13e-08
62,0.0505050505050505,2.21,2.26e-07,6.16e-08
63,0.0545454545454545,2.212,2.32e-07,5.72e-08
64,0.0585858585858585,2.216,2.42e-07,4.95e-08
65,0.0626262626262626,2.218,2.48e-07,4.67e-08
66,0.0666666666666666,2.22,2.5000000000000004e-07,4.17e-08
67,0.0707070707070707,2.224,2.49e-07,3.91e-08
68,0.0747474747474747,2.226,2.520000000000001e-07,3.4400000000000004e-08
69,0.0787878787878788,2.23,2.55e-07,2.7900000000000002e-08
70,0.0828282828282828,2.232,2.56e-07,2.63e-08
71,0.0868686868686868,2.236,2.61e-07,2.34e-08
72,0.0909090909090908,2.238,2.63e-07,2.26e-08
73,0.0949494949494949,2.242,2.66e-07,2e-08
74,0.0989898989898989,2.244,2.6900000000000004e-07,1.74e-08
75,0.103030303030303,2.248,2.65e-07,1.35e-08
76,0.107070707070707,2.25,2.6900000000000004e-07,1.39e-08
77,0.1111111111111111,2.254,2.710000000000001e-07,9.6e-09
78,0.1151515151515151,2.258,2.760000000000001e-07,7.7e-09
79,0.1191919191919191,2.26,2.7e-07,1.05e-08
80,0.1232323232323232,2.262,2.73e-07,4.7e-09
81,0.1272727272727272,2.266,2.79e-07,6.3e-09
82,0.1313131313131313,2.27,2.780000000000001e-07,5e-09
83,0.1353535353535353,2.272,2.72e-07,3.7e-09
84,0.1393939393939394,2.276,2.8e-07,1.3e-09
85,0.1434343434343434,2.278,2.8e-07,3.3e-09
86,0.1474747474747474,2.282,2.8100000000000004e-07,5.1e-09
87,0.1515151515151515,2.2840000000000003,2.8e-07,2.4e-09
88,0.1555555555555555,2.2880000000000003,2.79e-07,1.2e-09
89,0.1595959595959595,2.29,2.830000000000001e-07,1.4e-09
90,0.1636363636363636,2.294,2.8100000000000004e-07,3.1e-09
91,0.1676767676767676,2.298,2.8e-07,6e-10
92,0.1717171717171717,2.3000000000000003,2.86e-07,2e-10
93,0.1757575757575757,2.3040000000000003,2.8e-07,2e-10
94,0.1797979797979798,2.308,2.760000000000001e-07,1.2e-09
95,0.1838383838383838,2.31,2.8e-07,-8e-10
96,0.1878787878787878,2.314,2.8100000000000004e-07,2.3e-09
97,0.1919191919191919,2.316,2.87e-07,-1.2e-09
98,0.1959595959595959,2.32,2.82e-07,-6e-10
99,0.2,2.324,2.8100000000000004e-07,5e-10
