,vdm,v,i1,i2
0,-0.2,1.369,-5e-10,2.98e-07
1,-0.1959595959595959,1.369,-1.4e-09,2.830000000000001e-07
2,-0.1919191919191919,1.369,-4e-10,2.8800000000000004e-07
3,-0.1878787878787879,1.369,5e-10,2.86e-07
4,-0.1838383838383838,1.369,4e-10,2.950000000000001e-07
5,-0.1797979797979798,1.369,-4e-10,2.94e-07
6,-0.1757575757575757,1.369,-2.2000000000000003e-09,2.91e-07
7,-0.1717171717171717,1.369,0.0,2.900000000000001e-07
8,-0.1676767676767677,1.369,-6e-10,2.87e-07
9,-0.1636363636363636,1.369,1.2e-09,2.87e-07
10,-0.1595959595959596,1.369,2.4e-09,2.91e-07
11,-0.1555555555555555,1.369,2.4e-09,2.9300000000000004e-07
12,-0.1515151515151515,1.369,2.6e-09,2.900000000000001e-07
13,-0.1474747474747474,1.369,2.6e-09,2.86e-07
14,-0.1434343434343434,1.369,3.1e-09,2.8800000000000004e-07
15,-0.1393939393939394,1.369,4.6e-09,2.900000000000001e-07
16,-0.1353535353535353,1.369,6.5e-09,2.87e-07
17,-0.1313131313131313,1.369,5.4e-09,2.91e-07
18,-0.1272727272727273,1.369,6.6e-09,2.8800000000000004e-07
19,-0.1232323232323232,1.369,4.3000000000000005e-09,2.82e-07
20,-0.1191919191919192,1.369,8.800000000000001e-09,2.82e-07
21,-0.1151515151515151,1.369,9.4e-09,2.77e-07
22,-0.1111111111111111,1.37,9.900000000000001e-09,2.84e-07
23,-0.107070707070707,1.37,1.11e-08,2.8100000000000004e-07
24,-0.103030303030303,1.37,1.06e-08,2.8100000000000004e-07
25,-0.098989898989899,1.37,1.46e-08,2.77e-07
26,-0.0949494949494949,1.37,1.9e-08,2.73e-07
27,-0.0909090909090909,1.37,1.8e-08,2.72e-07
28,-0.0868686868686868,1.371,2.55e-08,2.6900000000000004e-07
29,-0.0828282828282828,1.371,2.29e-08,2.67e-07
30,-0.0787878787878788,1.371,2.88e-08,2.640000000000001e-07
31,-0.0747474747474747,1.372,3.05e-08,2.62e-07
32,-0.0707070707070707,1.372,3.4e-08,2.58e-07
33,-0.0666666666666666,1.373,3.55e-08,2.51e-07
34,-0.0626262626262626,1.373,4.22e-08,2.520000000000001e-07
35,-0.0585858585858586,1.374,4.6200000000000003e-08,2.48e-07
36,-0.0545454545454545,1.374,5.2e-08,2.44e-07
37,-0.0505050505050505,1.375,5.5e-08,2.34e-07
38,-0.0464646464646464,1.375,6.28e-08,2.3000000000000002e-07
39,-0.0424242424242424,1.376,6.600000000000002e-08,2.27e-07
40,-0.0383838383838384,1.377,7.24e-08,2.14e-07
41,-0.0343434343434343,1.378,7.760000000000002e-08,2.1100000000000002e-07
42,-0.0303030303030303,1.379,8.53e-08,2.04e-07
43,-0.0262626262626262,1.38,9.11e-08,1.9400000000000002e-07
44,-0.0222222222222222,1.381,9.980000000000001e-08,1.8700000000000002e-07
45,-0.0181818181818181,1.382,1.078e-07,1.8000000000000002e-07
46,-0.0141414141414141,1.383,1.161e-07,1.72e-07
47,-0.0101010101010101,1.385,1.2530000000000004e-07,1.6300000000000004e-07
48,-0.006060606060606,1.386,1.318e-07,1.55e-07
49,-0.002020202020202,1.388,1.414e-07,1.52e-07
50,0.002020202020202,1.389,1.453e-07,1.3800000000000004e-07
51,0.006060606060606,1.391,1.541e-07,1.33e-07
52,0.01010101010101,1.393,1.627e-07,1.23e-07
53,0.0141414141414141,1.395,1.699e-07,1.13e-07
54,0.0181818181818181,1.397,1.7670000000000001e-07,1.0600000000000001e-07
55,0.0222222222222222,1.398,1.86e-07,9.700000000000001e-08
56,0.0262626262626262,1.401,1.952e-07,9.630000000000001e-08
57,0.0303030303030303,1.403,1.95e-07,8.870000000000002e-08
58,0.0343434343434343,1.405,2.04e-07,8.3e-08
59,0.0383838383838383,1.407,2.0700000000000001e-07,7.4e-08
60,0.0424242424242424,1.41,2.15e-07,6.86e-08
61,0.0464646464646464,1.412,2.1900000000000002e-07,6.41e-08
62,0.0505050505050505,1.414,2.2900000000000005e-07,5.47e-08
63,0.0545454545454545,1.417,2.3100000000000002e-07,5.19e-08
64,0.0585858585858585,1.42,2.33e-07,4.79e-08
65,0.0626262626262626,1.422,2.470000000000001e-07,4.27e-08
