vdm	V(n001)	I(V1)	I(V3)
-1.691999999999991e-01	2.543031e+00	1.653655e-10	3.327053e-08
-1.687999999999991e-01	2.543028e+00	1.675716e-10	3.326833e-08
-1.683999999999991e-01	2.543025e+00	1.698081e-10	3.326610e-08
-1.679999999999991e-01	2.543023e+00	1.720756e-10	3.326383e-08
-1.675999999999991e-01	2.543020e+00	1.743745e-10	3.326154e-08
-1.671999999999991e-01	2.543017e+00	1.767051e-10	3.325921e-08
-1.667999999999991e-01	2.543015e+00	1.790680e-10	3.325685e-08
-1.663999999999990e-01	2.543012e+00	1.814635e-10	3.325446e-08
-1.659999999999990e-01	2.543009e+00	1.838921e-10	3.325204e-08
-1.655999999999990e-01	2.543006e+00	1.863543e-10	3.324958e-08
-1.651999999999990e-01	2.543003e+00	1.888504e-10	3.324708e-08
-1.647999999999990e-01	2.543000e+00	1.913810e-10	3.324456e-08
-1.643999999999990e-01	2.542997e+00	1.939466e-10	3.324200e-08
-1.639999999999990e-01	2.542994e+00	1.965475e-10	3.323940e-08
-1.635999999999990e-01	2.542991e+00	1.991842e-10	3.323677e-08
-1.631999999999990e-01	2.542988e+00	2.018573e-10	3.323410e-08
-1.627999999999989e-01	2.542985e+00	2.045673e-10	3.323139e-08
-1.623999999999989e-01	2.542981e+00	2.073145e-10	3.322865e-08
-1.619999999999989e-01	2.542978e+00	2.100996e-10	3.322587e-08
-1.615999999999989e-01	2.542975e+00	2.129231e-10	3.322305e-08
-1.611999999999989e-01	2.542972e+00	2.157853e-10	3.322019e-08
-1.607999999999989e-01	2.542968e+00	2.186869e-10	3.321730e-08
-1.603999999999989e-01	2.542965e+00	2.216285e-10	3.321436e-08
-1.599999999999989e-01	2.542961e+00	2.246104e-10	3.321138e-08
-1.595999999999989e-01	2.542958e+00	2.276333e-10	3.320837e-08
-1.591999999999988e-01	2.542954e+00	2.306977e-10	3.320531e-08
-1.587999999999988e-01	2.542950e+00	2.338042e-10	3.320221e-08
-1.583999999999988e-01	2.542947e+00	2.369533e-10	3.319906e-08
-1.579999999999988e-01	2.542943e+00	2.401456e-10	3.319587e-08
-1.575999999999988e-01	2.542939e+00	2.433816e-10	3.319264e-08
-1.571999999999988e-01	2.542935e+00	2.466620e-10	3.318937e-08
-1.567999999999988e-01	2.542931e+00	2.499873e-10	3.318605e-08
-1.563999999999988e-01	2.542928e+00	2.533581e-10	3.318268e-08
-1.559999999999988e-01	2.542923e+00	2.567751e-10	3.317927e-08
-1.555999999999987e-01	2.542919e+00	2.602388e-10	3.317581e-08
-1.551999999999987e-01	2.542915e+00	2.637499e-10	3.317231e-08
-1.547999999999987e-01	2.542911e+00	2.673089e-10	3.316875e-08
-1.543999999999987e-01	2.542907e+00	2.709166e-10	3.316515e-08
-1.539999999999987e-01	2.542902e+00	2.745735e-10	3.316150e-08
-1.535999999999987e-01	2.542898e+00	2.782803e-10	3.315780e-08
-1.531999999999987e-01	2.542894e+00	2.820377e-10	3.315405e-08
-1.527999999999987e-01	2.542889e+00	2.858463e-10	3.315025e-08
-1.523999999999986e-01	2.542885e+00	2.897067e-10	3.314639e-08
-1.519999999999986e-01	2.542880e+00	2.936198e-10	3.314248e-08
-1.515999999999986e-01	2.542876e+00	2.975861e-10	3.313853e-08
-1.511999999999986e-01	2.542871e+00	3.016064e-10	3.313451e-08
-1.507999999999986e-01	2.542866e+00	3.056813e-10	3.313044e-08
-1.503999999999986e-01	2.542861e+00	3.098117e-10	3.312632e-08
-1.499999999999986e-01	2.542856e+00	3.139981e-10	3.312214e-08
-1.495999999999986e-01	2.542851e+00	3.182413e-10	3.311790e-08
-1.491999999999986e-01	2.542846e+00	3.225422e-10	3.311361e-08
-1.487999999999985e-01	2.542841e+00	3.269013e-10	3.310926e-08
-1.483999999999985e-01	2.542836e+00	3.313195e-10	3.310485e-08
-1.479999999999985e-01	2.542831e+00	3.357976e-10	3.310038e-08
-1.475999999999985e-01	2.542825e+00	3.403362e-10	3.309584e-08
-1.471999999999985e-01	2.542820e+00	3.449363e-10	3.309125e-08
-1.467999999999985e-01	2.542814e+00	3.495985e-10	3.308660e-08
-1.463999999999985e-01	2.542809e+00	3.543238e-10	3.308188e-08
-1.459999999999985e-01	2.542803e+00	3.591128e-10	3.307710e-08
-1.455999999999985e-01	2.542798e+00	3.639665e-10	3.307225e-08
-1.451999999999984e-01	2.542792e+00	3.688856e-10	3.306734e-08
-1.447999999999984e-01	2.542786e+00	3.738710e-10	3.306237e-08
-1.443999999999984e-01	2.542780e+00	3.789236e-10	3.305732e-08
-1.439999999999984e-01	2.542774e+00	3.840441e-10	3.305221e-08
-1.435999999999984e-01	2.542768e+00	3.892335e-10	3.304703e-08
-1.431999999999984e-01	2.542762e+00	3.944927e-10	3.304178e-08
-1.427999999999984e-01	2.542755e+00	3.998225e-10	3.303646e-08
-1.423999999999984e-01	2.542749e+00	4.052238e-10	3.303106e-08
-1.419999999999983e-01	2.542742e+00	4.106976e-10	3.302560e-08
-1.415999999999983e-01	2.542736e+00	4.162447e-10	3.302006e-08
-1.411999999999983e-01	2.542729e+00	4.218662e-10	3.301445e-08
-1.407999999999983e-01	2.542723e+00	4.275628e-10	3.300876e-08
-1.403999999999983e-01	2.542716e+00	4.333356e-10	3.300300e-08
-1.399999999999983e-01	2.542709e+00	4.391856e-10	3.299716e-08
-1.395999999999983e-01	2.542702e+00	4.451136e-10	3.299124e-08
-1.391999999999983e-01	2.542695e+00	4.511208e-10	3.298524e-08
-1.387999999999983e-01	2.542688e+00	4.572080e-10	3.297917e-08
-1.383999999999982e-01	2.542681e+00	4.633763e-10	3.297301e-08
-1.379999999999982e-01	2.542673e+00	4.696267e-10	3.296677e-08
-1.375999999999982e-01	2.542666e+00	4.759602e-10	3.296044e-08
-1.371999999999982e-01	2.542658e+00	4.823779e-10	3.295403e-08
-1.367999999999982e-01	2.542650e+00	4.888807e-10	3.294754e-08
-1.363999999999982e-01	2.542643e+00	4.954698e-10	3.294096e-08
-1.359999999999982e-01	2.542635e+00	5.021463e-10	3.293430e-08
-1.355999999999982e-01	2.542627e+00	5.089111e-10	3.292755e-08
-1.351999999999982e-01	2.542619e+00	5.157654e-10	3.292070e-08
-1.347999999999981e-01	2.542610e+00	5.227104e-10	3.291377e-08
-1.343999999999981e-01	2.542602e+00	5.297470e-10	3.290674e-08
-1.339999999999981e-01	2.542594e+00	5.368764e-10	3.289963e-08
-1.335999999999981e-01	2.542585e+00	5.440999e-10	3.289242e-08
-1.331999999999981e-01	2.542577e+00	5.514184e-10	3.288511e-08
-1.327999999999981e-01	2.542568e+00	5.588333e-10	3.287770e-08
-1.323999999999981e-01	2.542559e+00	5.663455e-10	3.287020e-08
-1.319999999999981e-01	2.542550e+00	5.739564e-10	3.286261e-08
-1.315999999999981e-01	2.542541e+00	5.816671e-10	3.285491e-08
-1.311999999999980e-01	2.542531e+00	5.894788e-10	3.284711e-08
-1.307999999999980e-01	2.542522e+00	5.973928e-10	3.283921e-08
-1.303999999999980e-01	2.542513e+00	6.054103e-10	3.283121e-08
-1.299999999999980e-01	2.542503e+00	6.135324e-10	3.282310e-08
-1.295999999999980e-01	2.542493e+00	6.217606e-10	3.281488e-08
-1.291999999999980e-01	2.542484e+00	6.300960e-10	3.280656e-08
-1.287999999999980e-01	2.542474e+00	6.385399e-10	3.279813e-08
-1.283999999999980e-01	2.542463e+00	6.470937e-10	3.278959e-08
-1.279999999999979e-01	2.542453e+00	6.557585e-10	3.278094e-08
-1.275999999999979e-01	2.542443e+00	6.645358e-10	3.277218e-08
-1.271999999999979e-01	2.542432e+00	6.734268e-10	3.276330e-08
