vdm	V(n001)	I(V1)	I(V3)
-2.000000000000000e-01	1.626216e+00	6.126780e-11	3.456363e-08
-1.996000000000000e-01	1.626215e+00	6.203330e-11	3.456286e-08
-1.992000000000000e-01	1.626215e+00	6.280969e-11	3.456209e-08
-1.988000000000000e-01	1.626214e+00	6.359712e-11	3.456130e-08
-1.984000000000000e-01	1.626213e+00	6.439575e-11	3.456050e-08
-1.980000000000000e-01	1.626212e+00	6.520573e-11	3.455969e-08
-1.975999999999999e-01	1.626211e+00	6.602723e-11	3.455887e-08
-1.971999999999999e-01	1.626210e+00	6.686040e-11	3.455804e-08
-1.967999999999999e-01	1.626209e+00	6.770542e-11	3.455720e-08
-1.963999999999999e-01	1.626208e+00	6.856245e-11	3.455634e-08
-1.959999999999999e-01	1.626207e+00	6.943166e-11	3.455548e-08
-1.955999999999999e-01	1.626206e+00	7.031322e-11	3.455460e-08
-1.951999999999999e-01	1.626205e+00	7.120731e-11	3.455370e-08
-1.947999999999999e-01	1.626204e+00	7.211409e-11	3.455280e-08
-1.943999999999999e-01	1.626203e+00	7.303376e-11	3.455188e-08
-1.939999999999998e-01	1.626202e+00	7.396649e-11	3.455095e-08
-1.935999999999998e-01	1.626201e+00	7.491247e-11	3.455000e-08
-1.931999999999998e-01	1.626199e+00	7.587187e-11	3.454904e-08
-1.927999999999998e-01	1.626198e+00	7.684490e-11	3.454807e-08
-1.923999999999998e-01	1.626197e+00	7.783174e-11	3.454709e-08
-1.919999999999998e-01	1.626196e+00	7.883259e-11	3.454609e-08
-1.915999999999998e-01	1.626195e+00	7.984764e-11	3.454507e-08
-1.911999999999998e-01	1.626194e+00	8.087710e-11	3.454404e-08
-1.907999999999997e-01	1.626192e+00	8.192115e-11	3.454300e-08
-1.903999999999997e-01	1.626191e+00	8.298003e-11	3.454194e-08
-1.899999999999997e-01	1.626190e+00	8.405392e-11	3.454088e-08
-1.895999999999997e-01	1.626189e+00	8.514303e-11	3.453978e-08
-1.891999999999997e-01	1.626187e+00	8.624760e-11	3.453868e-08
-1.887999999999997e-01	1.626186e+00	8.736782e-11	3.453756e-08
-1.883999999999997e-01	1.626185e+00	8.850392e-11	3.453643e-08
-1.879999999999997e-01	1.626184e+00	8.965613e-11	3.453528e-08
-1.875999999999997e-01	1.626182e+00	9.082466e-11	3.453411e-08
-1.871999999999996e-01	1.626181e+00	9.200975e-11	3.453293e-08
-1.867999999999996e-01	1.626179e+00	9.321163e-11	3.453173e-08
-1.863999999999996e-01	1.626178e+00	9.443053e-11	3.453051e-08
-1.859999999999996e-01	1.626176e+00	9.566670e-11	3.452928e-08
-1.855999999999996e-01	1.626175e+00	9.692037e-11	3.452802e-08
-1.851999999999996e-01	1.626174e+00	9.819178e-11	3.452676e-08
-1.847999999999996e-01	1.626172e+00	9.948119e-11	3.452547e-08
-1.843999999999996e-01	1.626171e+00	1.007889e-10	3.452416e-08
-1.839999999999996e-01	1.626169e+00	1.021150e-10	3.452284e-08
-1.835999999999995e-01	1.626168e+00	1.034599e-10	3.452149e-08
-1.831999999999995e-01	1.626166e+00	1.048239e-10	3.452013e-08
-1.827999999999995e-01	1.626164e+00	1.062071e-10	3.451875e-08
-1.823999999999995e-01	1.626163e+00	1.076099e-10	3.451735e-08
-1.819999999999995e-01	1.626161e+00	1.090326e-10	3.451593e-08
-1.815999999999995e-01	1.626159e+00	1.104753e-10	3.451449e-08
-1.811999999999995e-01	1.626158e+00	1.119384e-10	3.451303e-08
-1.807999999999995e-01	1.626156e+00	1.134222e-10	3.451155e-08
-1.803999999999994e-01	1.626154e+00	1.149270e-10	3.451004e-08
-1.799999999999994e-01	1.626152e+00	1.164530e-10	3.450852e-08
-1.795999999999994e-01	1.626151e+00	1.180006e-10	3.450698e-08
-1.791999999999994e-01	1.626149e+00	1.195700e-10	3.450541e-08
-1.787999999999994e-01	1.626147e+00	1.211615e-10	3.450382e-08
-1.783999999999994e-01	1.626145e+00	1.227755e-10	3.450221e-08
-1.779999999999994e-01	1.626143e+00	1.244123e-10	3.450057e-08
-1.775999999999994e-01	1.626141e+00	1.260722e-10	3.449891e-08
-1.771999999999994e-01	1.626139e+00	1.277555e-10	3.449723e-08
-1.767999999999993e-01	1.626137e+00	1.294625e-10	3.449553e-08
-1.763999999999993e-01	1.626135e+00	1.311936e-10	3.449380e-08
-1.759999999999993e-01	1.626133e+00	1.329490e-10	3.449205e-08
-1.755999999999993e-01	1.626131e+00	1.347292e-10	3.449027e-08
-1.751999999999993e-01	1.626129e+00	1.365345e-10	3.448847e-08
