vdm	V(n001)	I(V1)	I(V2)	I(V3)
-1.747999999999993e-01	3.445123e+00	1.414943e-10	0.000000e+00	3.193446e-08
-1.743999999999993e-01	3.445120e+00	1.433275e-10	0.000000e+00	3.193263e-08
-1.739999999999993e-01	3.445118e+00	1.451856e-10	0.000000e+00	3.193077e-08
-1.735999999999993e-01	3.445116e+00	1.470690e-10	0.000000e+00	3.192890e-08
-1.731999999999992e-01	3.445114e+00	1.489779e-10	0.000000e+00	3.192699e-08
-1.727999999999992e-01	3.445112e+00	1.509127e-10	0.000000e+00	3.192506e-08
-1.723999999999992e-01	3.445109e+00	1.528738e-10	0.000000e+00	3.192310e-08
-1.719999999999992e-01	3.445107e+00	1.548615e-10	0.000000e+00	3.192112e-08
-1.715999999999992e-01	3.445104e+00	1.568761e-10	0.000000e+00	3.191911e-08
-1.711999999999992e-01	3.445102e+00	1.589181e-10	0.000000e+00	3.191707e-08
-1.707999999999992e-01	3.445100e+00	1.609877e-10	0.000000e+00	3.191500e-08
-1.703999999999992e-01	3.445097e+00	1.630854e-10	0.000000e+00	3.191291e-08
-1.699999999999992e-01	3.445095e+00	1.652115e-10	0.000000e+00	3.191079e-08
-1.695999999999991e-01	3.445092e+00	1.673665e-10	0.000000e+00	3.190864e-08
-1.691999999999991e-01	3.445089e+00	1.695505e-10	0.000000e+00	3.190646e-08
-1.687999999999991e-01	3.445087e+00	1.717642e-10	0.000000e+00	3.190425e-08
-1.683999999999991e-01	3.445084e+00	1.740078e-10	0.000000e+00	3.190201e-08
-1.679999999999991e-01	3.445081e+00	1.762818e-10	0.000000e+00	3.189974e-08
-1.675999999999991e-01	3.445079e+00	1.785865e-10	0.000000e+00	3.189744e-08
-1.671999999999991e-01	3.445076e+00	1.809225e-10	0.000000e+00	3.189511e-08
-1.667999999999991e-01	3.445073e+00	1.832899e-10	0.000000e+00	3.189274e-08
-1.663999999999990e-01	3.445070e+00	1.856894e-10	0.000000e+00	3.189035e-08
-1.659999999999990e-01	3.445067e+00	1.881213e-10	0.000000e+00	3.188792e-08
-1.655999999999990e-01	3.445065e+00	1.905860e-10	0.000000e+00	3.188546e-08
-1.651999999999990e-01	3.445061e+00	1.930841e-10	0.000000e+00	3.188297e-08
-1.647999999999990e-01	3.445059e+00	1.956158e-10	0.000000e+00	3.188044e-08
-1.643999999999990e-01	3.445055e+00	1.981817e-10	0.000000e+00	3.187788e-08
-1.639999999999990e-01	3.445052e+00	2.007822e-10	0.000000e+00	3.187528e-08
-1.635999999999990e-01	3.445049e+00	2.034178e-10	0.000000e+00	3.187266e-08
-1.631999999999990e-01	3.445046e+00	2.060889e-10	0.000000e+00	3.186999e-08
-1.627999999999989e-01	3.445043e+00	2.087960e-10	0.000000e+00	3.186729e-08
-1.623999999999989e-01	3.445040e+00	2.115395e-10	0.000000e+00	3.186455e-08
-1.619999999999989e-01	3.445036e+00	2.143200e-10	0.000000e+00	3.186177e-08
-1.615999999999989e-01	3.445033e+00	2.171379e-10	0.000000e+00	3.185896e-08
-1.611999999999989e-01	3.445029e+00	2.199938e-10	0.000000e+00	3.185611e-08
-1.607999999999989e-01	3.445026e+00	2.228880e-10	0.000000e+00	3.185322e-08
-1.603999999999989e-01	3.445023e+00	2.258212e-10	0.000000e+00	3.185029e-08
-1.599999999999989e-01	3.445019e+00	2.287938e-10	0.000000e+00	3.184733e-08
-1.595999999999989e-01	3.445015e+00	2.318064e-10	0.000000e+00	3.184432e-08
-1.591999999999988e-01	3.445012e+00	2.348594e-10	0.000000e+00	3.184127e-08
-1.587999999999988e-01	3.445008e+00	2.379533e-10	0.000000e+00	3.183819e-08
-1.583999999999988e-01	3.445004e+00	2.410888e-10	0.000000e+00	3.183506e-08
-1.579999999999988e-01	3.445001e+00	2.442664e-10	0.000000e+00	3.183189e-08
-1.575999999999988e-01	3.444997e+00	2.474866e-10	0.000000e+00	3.182867e-08
-1.571999999999988e-01	3.444993e+00	2.507499e-10	0.000000e+00	3.182542e-08
-1.567999999999988e-01	3.444989e+00	2.540570e-10	0.000000e+00	3.182211e-08
-1.563999999999988e-01	3.444985e+00	2.574083e-10	0.000000e+00	3.181877e-08
-1.559999999999988e-01	3.444981e+00	2.608045e-10	0.000000e+00	3.181538e-08
-1.555999999999987e-01	3.444977e+00	2.642462e-10	0.000000e+00	3.181195e-08
-1.551999999999987e-01	3.444973e+00	2.677339e-10	0.000000e+00	3.180847e-08
-1.547999999999987e-01	3.444969e+00	2.712681e-10	0.000000e+00	3.180494e-08
-1.543999999999987e-01	3.444964e+00	2.748497e-10	0.000000e+00	3.180136e-08
-1.539999999999987e-01	3.444960e+00	2.784791e-10	0.000000e+00	3.179774e-08
-1.535999999999987e-01	3.444956e+00	2.821569e-10	0.000000e+00	3.179407e-08
-1.531999999999987e-01	3.444951e+00	2.858838e-10	0.000000e+00	3.179035e-08
