vdm	V(n001)	I(V1)	I(V2)	I(V3)
-1.747999999999993e-01	3.542241e+00	5.133201e-09	0.000000e+00	2.139671e-07
-1.743999999999993e-01	3.542222e+00	5.194088e-09	0.000000e+00	2.139064e-07
-1.739999999999993e-01	3.542202e+00	5.255602e-09	0.000000e+00	2.138450e-07
-1.735999999999993e-01	3.542181e+00	5.317745e-09	0.000000e+00	2.137831e-07
-1.731999999999992e-01	3.542161e+00	5.380524e-09	0.000000e+00	2.137205e-07
-1.727999999999992e-01	3.542140e+00	5.443942e-09	0.000000e+00	2.136572e-07
-1.723999999999992e-01	3.542119e+00	5.508004e-09	0.000000e+00	2.135933e-07
-1.719999999999992e-01	3.542098e+00	5.572714e-09	0.000000e+00	2.135288e-07
-1.715999999999992e-01	3.542077e+00	5.638077e-09	0.000000e+00	2.134636e-07
-1.711999999999992e-01	3.542055e+00	5.704097e-09	0.000000e+00	2.133978e-07
-1.707999999999992e-01	3.542033e+00	5.770779e-09	0.000000e+00	2.133313e-07
-1.703999999999992e-01	3.542011e+00	5.838128e-09	0.000000e+00	2.132642e-07
-1.699999999999992e-01	3.541989e+00	5.906147e-09	0.000000e+00	2.131963e-07
-1.695999999999991e-01	3.541967e+00	5.974841e-09	0.000000e+00	2.131278e-07
-1.691999999999991e-01	3.541944e+00	6.044215e-09	0.000000e+00	2.130587e-07
-1.687999999999991e-01	3.541921e+00	6.114273e-09	0.000000e+00	2.129888e-07
-1.683999999999991e-01	3.541898e+00	6.185020e-09	0.000000e+00	2.129183e-07
-1.679999999999991e-01	3.541875e+00	6.256459e-09	0.000000e+00	2.128470e-07
-1.675999999999991e-01	3.541851e+00	6.328596e-09	0.000000e+00	2.127751e-07
-1.671999999999991e-01	3.541827e+00	6.401435e-09	0.000000e+00	2.127025e-07
-1.667999999999991e-01	3.541803e+00	6.474980e-09	0.000000e+00	2.126291e-07
-1.663999999999990e-01	3.541779e+00	6.549235e-09	0.000000e+00	2.125551e-07
-1.659999999999990e-01	3.541754e+00	6.624206e-09	0.000000e+00	2.124803e-07
-1.655999999999990e-01	3.541730e+00	6.699895e-09	0.000000e+00	2.124048e-07
-1.651999999999990e-01	3.541705e+00	6.776308e-09	0.000000e+00	2.123286e-07
-1.647999999999990e-01	3.541679e+00	6.853450e-09	0.000000e+00	2.122517e-07
-1.643999999999990e-01	3.541654e+00	6.931323e-09	0.000000e+00	2.121741e-07
-1.639999999999990e-01	3.541628e+00	7.009933e-09	0.000000e+00	2.120957e-07
-1.635999999999990e-01	3.541602e+00	7.089284e-09	0.000000e+00	2.120166e-07
-1.631999999999990e-01	3.541576e+00	7.169380e-09	0.000000e+00	2.119367e-07
-1.627999999999989e-01	3.541549e+00	7.250225e-09	0.000000e+00	2.118561e-07
-1.623999999999989e-01	3.541523e+00	7.331824e-09	0.000000e+00	2.117747e-07
-1.619999999999989e-01	3.541496e+00	7.414181e-09	0.000000e+00	2.116926e-07
-1.615999999999989e-01	3.541468e+00	7.497299e-09	0.000000e+00	2.116097e-07
-1.611999999999989e-01	3.541441e+00	7.581184e-09	0.000000e+00	2.115261e-07
-1.607999999999989e-01	3.541413e+00	7.665839e-09	0.000000e+00	2.114417e-07
-1.603999999999989e-01	3.541385e+00	7.751268e-09	0.000000e+00	2.113565e-07
-1.599999999999989e-01	3.541357e+00	7.837476e-09	0.000000e+00	2.112705e-07
-1.595999999999989e-01	3.541328e+00	7.924466e-09	0.000000e+00	2.111838e-07
-1.591999999999988e-01	3.541299e+00	8.012242e-09	0.000000e+00	2.110962e-07
-1.587999999999988e-01	3.541270e+00	8.100810e-09	0.000000e+00	2.110079e-07
-1.583999999999988e-01	3.541241e+00	8.190172e-09	0.000000e+00	2.109188e-07
-1.579999999999988e-01	3.541211e+00	8.280333e-09	0.000000e+00	2.108289e-07
-1.575999999999988e-01	3.541181e+00	8.371297e-09	0.000000e+00	2.107382e-07
-1.571999999999988e-01	3.541151e+00	8.463066e-09	0.000000e+00	2.106467e-07
-1.567999999999988e-01	3.541121e+00	8.555646e-09	0.000000e+00	2.105544e-07
-1.563999999999988e-01	3.541090e+00	8.649041e-09	0.000000e+00	2.104613e-07
-1.559999999999988e-01	3.541059e+00	8.743253e-09	0.000000e+00	2.103673e-07
-1.555999999999987e-01	3.541028e+00	8.838288e-09	0.000000e+00	2.102726e-07
-1.551999999999987e-01	3.540996e+00	8.934149e-09	0.000000e+00	2.101770e-07
-1.547999999999987e-01	3.540964e+00	9.030838e-09	0.000000e+00	2.100806e-07
-1.543999999999987e-01	3.540932e+00	9.128361e-09	0.000000e+00	2.099833e-07
-1.539999999999987e-01	3.540900e+00	9.226721e-09	0.000000e+00	2.098852e-07
-1.535999999999987e-01	3.540867e+00	9.325921e-09	0.000000e+00	2.097863e-07
-1.531999999999987e-01	3.540834e+00	9.425966e-09	0.000000e+00	2.096866e-07
-1.527999999999987e-01	3.540801e+00	9.526858e-09	0.000000e+00	2.095860e-07
-1.523999999999986e-01	3.540767e+00	9.628603e-09	0.000000e+00	2.094845e-07
-1.519999999999986e-01	3.540733e+00	9.731202e-09	0.000000e+00	2.093822e-07
-1.515999999999986e-01	3.540699e+00	9.834658e-09	0.000000e+00	2.092791e-07
-1.511999999999986e-01	3.540665e+00	9.938978e-09	0.000000e+00	2.091750e-07
-1.507999999999986e-01	3.540630e+00	1.004416e-08	0.000000e+00	2.090701e-07
-1.503999999999986e-01	3.540595e+00	1.015022e-08	0.000000e+00	2.089644e-07
-1.499999999999986e-01	3.540560e+00	1.025714e-08	0.000000e+00	2.088578e-07
-1.495999999999986e-01	3.540524e+00	1.036494e-08	0.000000e+00	2.087503e-07
-1.491999999999986e-01	3.540488e+00	1.047362e-08	0.000000e+00	2.086419e-07
-1.487999999999985e-01	3.540452e+00	1.058318e-08	0.000000e+00	2.085327e-07
-1.483999999999985e-01	3.540415e+00	1.069363e-08	0.000000e+00	2.084225e-07
-1.479999999999985e-01	3.540378e+00	1.080496e-08	0.000000e+00	2.083115e-07
-1.475999999999985e-01	3.540341e+00	1.091719e-08	0.000000e+00	2.081996e-07
-1.471999999999985e-01	3.540304e+00	1.103031e-08	0.000000e+00	2.080868e-07
-1.467999999999985e-01	3.540266e+00	1.114433e-08	0.000000e+00	2.079731e-07
-1.463999999999985e-01	3.540228e+00	1.125925e-08	0.000000e+00	2.078585e-07
-1.459999999999985e-01	3.540189e+00	1.137508e-08	0.000000e+00	2.077431e-07
-1.455999999999985e-01	3.540151e+00	1.149181e-08	0.000000e+00	2.076267e-07
-1.451999999999984e-01	3.540112e+00	1.160944e-08	0.000000e+00	2.075094e-07
-1.447999999999984e-01	3.540072e+00	1.172800e-08	0.000000e+00	2.073912e-07
-1.443999999999984e-01	3.540032e+00	1.184746e-08	0.000000e+00	2.072720e-07
-1.439999999999984e-01	3.539993e+00	1.196785e-08	0.000000e+00	2.071520e-07
-1.435999999999984e-01	3.539952e+00	1.208916e-08	0.000000e+00	2.070311e-07
-1.431999999999984e-01	3.539912e+00	1.221139e-08	0.000000e+00	2.069092e-07
-1.427999999999984e-01	3.539871e+00	1.233454e-08	0.000000e+00	2.067864e-07
-1.423999999999984e-01	3.539829e+00	1.245863e-08	0.000000e+00	2.066626e-07
-1.419999999999983e-01	3.539788e+00	1.258364e-08	0.000000e+00	2.065380e-07
-1.415999999999983e-01	3.539746e+00	1.270959e-08	0.000000e+00	2.064124e-07
-1.411999999999983e-01	3.539703e+00	1.283648e-08	0.000000e+00	2.062859e-07
-1.407999999999983e-01	3.539661e+00	1.296430e-08	0.000000e+00	2.061584e-07
-1.403999999999983e-01	3.539618e+00	1.309307e-08	0.000000e+00	2.060300e-07
