#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A189EA
#Date Time: 2024-04-21 19:54:23.665
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: -1.51 V Sample Mode: Average
#Channel 2: Range: 50 mV/div Offset: -1.505 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 500 Hz
#Period: 2 ms
#Amplitude: 100 mV
#Offset: 1.5 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.002480921083805923,1.591679528729018,1.584664299528485
-0.002480291083805923,1.592011825349407,1.584664299528485
-0.002479661083805923,1.591679528729018,1.58399629435035
-0.002479031083805923,1.591679528729017,1.584330296939418
-0.002478401083805923,1.591014935488237,1.584664299528485
-0.002477771083805923,1.591347232108627,1.584998302117553
-0.002477141083805924,1.591014935488237,1.584330296939418
-0.002476511083805923,1.591347232108627,1.584330296939418
-0.002475881083805923,1.591347232108627,1.584664299528485
-0.002475251083805923,1.591347232108627,1.584664299528485
-0.002474621083805923,1.591679528729018,1.584330296939418
-0.002473991083805923,1.591679528729018,1.58399629435035
-0.002473361083805923,1.592011825349408,1.584330296939418
-0.002472731083805923,1.592011825349408,1.58399629435035
-0.002472101083805923,1.592344121969797,1.583662291761283
-0.002471471083805923,1.591347232108627,1.584330296939418
-0.002470841083805923,1.591347232108627,1.584330296939418
-0.002470211083805924,1.591347232108627,1.584330296939418
-0.002469581083805923,1.591679528729018,1.584330296939418
-0.002468951083805923,1.592011825349408,1.584664299528485
-0.002468321083805923,1.592011825349408,1.584998302117553
-0.002467691083805923,1.591679528729018,1.584998302117553
-0.002467061083805923,1.591014935488237,1.584664299528485
-0.002466431083805923,1.591347232108627,1.584330296939418
-0.002465801083805923,1.592011825349408,1.584664299528485
-0.002465171083805924,1.591347232108627,1.584664299528485
-0.002464541083805923,1.591347232108627,1.584664299528485
-0.002463911083805923,1.591347232108627,1.584330296939418
-0.002463281083805923,1.591679528729018,1.584664299528485
-0.002462651083805923,1.591347232108627,1.584664299528485
-0.002462021083805923,1.591679528729018,1.584998302117553
-0.002461391083805923,1.591679528729018,1.584998302117553
-0.002460761083805923,1.591347232108627,1.584330296939418
-0.002460131083805924,1.591347232108627,1.584330296939418
-0.002459501083805923,1.590682638867847,1.58399629435035
-0.002458871083805923,1.590350342247457,1.584664299528485
-0.002458241083805923,1.590682638867847,1.584330296939418
-0.002457611083805923,1.590350342247457,1.58399629435035
